ward,precinct,total,Mary Bernadette McMahon,Mary Bernadette McMahon Percent,Suzanne Therese McEneely,Suzanne Therese McEneely Percent,Tracie Porter,Tracie Porter Percent,precinct_id
10,29,63,23,36.51,19,30.16,21,33.33,10029
10,30,53,21,39.62,14,26.42,18,33.96,10030
10,31,51,19,37.25,12,23.53,20,39.22,10031
10,32,70,31,44.29,17,24.29,22,31.43,10032
10,33,54,15,27.78,18,33.33,21,38.89,10033
10,34,37,14,37.84,4,10.81,19,51.35,10034
10,35,97,38,39.18,21,21.65,38,39.18,10035
10,36,32,6,18.75,3,9.38,23,71.88,10036
11,1,144,36,25.0,29,20.14,79,54.86,11001
11,2,5,1,20.0,0,0.0,4,80.0,11002
11,3,154,28,18.18,19,12.34,107,69.48,11003
11,4,113,51,45.13,20,17.7,42,37.17,11004
11,5,153,39,25.49,32,20.92,82,53.59,11005
11,6,194,49,25.26,28,14.43,117,60.31,11006
11,7,86,21,24.42,12,13.95,53,61.63,11007
11,8,118,34,28.81,24,20.34,60,50.85,11008
11,9,93,29,31.18,20,21.51,44,47.31,11009
11,10,95,45,47.37,15,15.79,35,36.84,11010
11,11,118,30,25.42,22,18.64,66,55.93,11011
11,12,139,85,61.15,27,19.42,27,19.42,11012
11,13,126,65,51.59,26,20.63,35,27.78,11013
11,14,45,28,62.22,4,8.89,13,28.89,11014
11,15,55,27,49.09,11,20.0,17,30.91,11015
11,16,81,33,40.74,21,25.93,27,33.33,11016
11,17,191,59,30.89,39,20.42,93,48.69,11017
11,18,94,45,47.87,20,21.28,29,30.85,11018
11,19,202,51,25.25,33,16.34,118,58.42,11019
11,20,93,38,40.86,16,17.2,39,41.94,11020
11,21,197,88,44.67,23,11.68,86,43.65,11021
11,22,149,50,33.56,18,12.08,81,54.36,11022
11,23,81,37,45.68,21,25.93,23,28.4,11023
11,24,228,118,51.75,27,11.84,83,36.4,11024
11,25,173,65,37.57,32,18.5,76,43.93,11025
11,26,158,57,36.08,24,15.19,77,48.73,11026
11,27,40,21,52.5,9,22.5,10,25.0,11027
11,28,51,31,60.78,8,15.69,12,23.53,11028
11,29,152,69,45.39,29,19.08,54,35.53,11029
11,30,73,30,41.1,12,16.44,31,42.47,11030
11,31,113,66,58.41,16,14.16,31,27.43,11031
11,32,58,25,43.1,8,13.79,25,43.1,11032
11,33,145,34,23.45,23,15.86,88,60.69,11033
11,34,52,21,40.38,13,25.0,18,34.62,11034
11,35,36,17,47.22,7,19.44,12,33.33,11035
11,36,46,17,36.96,6,13.04,23,50.0,11036
11,37,36,5,13.89,7,19.44,24,66.67,11037
11,38,68,18,26.47,13,19.12,37,54.41,11038
12,1,110,36,32.73,28,25.45,46,41.82,12001
12,2,66,28,42.42,16,24.24,22,33.33,12002
12,3,159,47,29.56,40,25.16,72,45.28,12003
12,4,118,39,33.05,29,24.58,50,42.37,12004
12,5,100,39,39.0,23,23.0,38,38.0,12005
12,6,117,40,34.19,32,27.35,45,38.46,12006
12,7,67,14,20.9,22,32.84,31,46.27,12007
12,8,115,53,46.09,24,20.87,38,33.04,12008
12,9,79,25,31.65,18,22.78,36,45.57,12009
12,10,102,26,25.49,20,19.61,56,54.9,12010
12,11,65,27,41.54,13,20.0,25,38.46,12011
12,12,70,25,35.71,21,30.0,24,34.29,12012
12,13,83,23,27.71,18,21.69,42,50.6,12013
