ward,precinct,total,ARTHUR L. TURNER (BRADLEY),ARTHUR L. TURNER (BRADLEY) Percent,KAREN YARBROUGH (BRADLEY),KAREN YARBROUGH (BRADLEY) Percent,PAT QUINN (BRADLEY),PAT QUINN (BRADLEY) Percent,MARGARET A. HOULIHAN (BRADLEY),MARGARET A. HOULIHAN (BRADLEY) Percent,RICKEY R. HENDON (BRADLEY),RICKEY R. HENDON (BRADLEY) Percent,ANN E. SMITH (BRADLEY),ANN E. SMITH (BRADLEY) Percent,HARRISON BOLTON (BRADLEY),HARRISON BOLTON (BRADLEY) Percent,THOMAS E. SIMMONS (GORE),THOMAS E. SIMMONS (GORE) Percent,BOBBIE L. STEELE (GORE),BOBBIE L. STEELE (GORE) Percent,"JERRY W. WILLIAMS, SR. (GORE)","JERRY W. WILLIAMS, SR. (GORE) Percent",LALEEN COLLINS-DOERRER (GORE),LALEEN COLLINS-DOERRER (GORE) Percent,JOHNNY L. MILLER (GORE),JOHNNY L. MILLER (GORE) Percent,BARBARA J. MCGOWAN (GORE),BARBARA J. MCGOWAN (GORE) Percent,BARTON M. MOY (GORE),BARTON M. MOY (GORE) Percent,precinct_id
42,47,359,21,5.85,16,4.46,24,6.69,18,5.01,15,4.18,21,5.85,11,3.06,30,8.36,36,10.03,25,6.96,33,9.19,31,8.64,44,12.26,34,9.47,42047
42,48,234,14,5.98,15,6.41,21,8.97,13,5.56,9,3.85,16,6.84,9,3.85,19,8.12,19,8.12,19,8.12,17,7.26,17,7.26,24,10.26,22,9.4,42048
42,49,560,33,5.89,24,4.29,41,7.32,26,4.64,30,5.36,22,3.93,16,2.86,43,7.68,66,11.79,47,8.39,50,8.93,50,8.93,59,10.54,53,9.46,42049
42,50,391,20,5.12,24,6.14,21,5.37,25,6.39,20,5.12,27,6.91,16,4.09,31,7.93,39,9.97,30,7.67,28,7.16,33,8.44,44,11.25,33,8.44,42050
42,51,256,7,2.73,14,5.47,18,7.03,12,4.69,7,2.73,10,3.91,2,0.78,24,9.38,29,11.33,26,10.16,26,10.16,24,9.38,32,12.5,25,9.77,42051
42,52,451,25,5.54,29,6.43,33,7.32,27,5.99,21,4.66,21,4.66,16,3.55,33,7.32,43,9.53,41,9.09,38,8.43,38,8.43,46,10.2,40,8.87,42052
42,53,409,23,5.62,24,5.87,31,7.58,29,7.09,16,3.91,24,5.87,15,3.67,31,7.58,33,8.07,28,6.85,35,8.56,36,8.8,48,11.74,36,8.8,42053
42,54,363,18,4.96,25,6.89,23,6.34,30,8.26,16,4.41,21,5.79,13,3.58,26,7.16,37,10.19,25,6.89,30,8.26,29,7.99,40,11.02,30,8.26,42054
42,55,477,25,5.24,30,6.29,35,7.34,29,6.08,25,5.24,28,5.87,20,4.19,39,8.18,40,8.39,37,7.76,44,9.22,38,7.97,47,9.85,40,8.39,42055
42,56,313,16,5.11,15,4.79,23,7.35,18,5.75,16,5.11,15,4.79,17,5.43,24,7.67,27,8.63,26,8.31,29,9.27,26,8.31,31,9.9,30,9.58,42056
42,57,285,19,6.67,17,5.96,20,7.02,18,6.32,14,4.91,16,5.61,14,4.91,25,8.77,26,9.12,19,6.67,24,8.42,22,7.72,27,9.47,24,8.42,42057
42,58,732,34,4.64,42,5.74,47,6.42,31,4.23,24,3.28,35,4.78,20,2.73,62,8.47,75,10.25,65,8.88,74,10.11,65,8.88,86,11.75,72,9.84,42058
42,59,336,24,7.14,22,6.55,30,8.93,15,4.46,23,6.85,21,6.25,11,3.27,23,6.85,34,10.12,22,6.55,25,7.44,26,7.74,33,9.82,27,8.04,42059
42,60,201,11,5.47,11,5.47,12,5.97,8,3.98,9,4.48,11,5.47,6,2.99,19,9.45,18,8.96,20,9.95,18,8.96,17,8.46,23,11.44,18,8.96,42060
42,62,264,7,2.65,9,3.41,10,3.79,11,4.17,9,3.41,6,2.27,5,1.89,27,10.23,32,12.12,28,10.61,27,10.23,30,11.36,34,12.88,29,10.98,42062
42,63,477,27,5.66,28,5.87,31,6.5,28,5.87,23,4.82,27,5.66,20,4.19,40,8.39,46,9.64,41,8.6,43,9.01,35,7.34,46,9.64,42,8.81,42063
42,64,187,13,6.95,9,4.81,14,7.49,6,3.21,8,4.28,11,5.88,6,3.21,12,6.42,19,10.16,15,8.02,16,8.56,14,7.49,27,14.44,17,9.09,42064
42,65,242,16,6.61,17,7.02,17,7.02,14,5.79,14,5.79,15,6.2,11,4.55,19,7.85,24,9.92,18,7.44,19,7.85,19,7.85,22,9.09,17,7.02,42065
42,66,307,12,3.91,10,3.26,13,4.23,9,2.93,6,1.95,10,3.26,4,1.3,32,10.42,44,14.33,31,10.1,29,9.45,39,12.7,31,10.1,37,12.05,42066
42,67,783,37,4.73,30,3.83,47,6.0,29,3.7,38,4.85,41,5.24,20,2.55,63,8.05,112,14.3,69,8.81,66,8.43,67,8.56,94,12.01,70,8.94,42067
43,1,55,3,5.45,3,5.45,6,10.91,6,10.91,2,3.64,5,9.09,2,3.64,3,5.45,3,5.45,5,9.09,3,5.45,4,7.27,4,7.27,6,10.91,43001
43,13,143,10,6.99,7,4.9,13,9.09,7,4.9,7,4.9,8,5.59,5,3.5,12,8.39,14,9.79,11,7.69,10,6.99,11,7.69,15,10.49,13,9.09,43013
43,25,326,17,5.21,18,5.52,24,7.36,13,3.99,17,5.21,13,3.99,13,3.99,24,7.36,39,11.96,27,8.28,30,9.2,29,8.9,33,10.12,29,8.9,43025
43,40,415,17,4.1,18,4.34,26,6.27,16,3.86,13,3.13,14,3.37,9,2.17,38,9.16,50,12.05,40,9.64,38,9.16,42,10.12,53,12.77,41,9.88,43040
43,55,348,13,3.74,10,2.87,15,4.31,6,1.72,12,3.45,8,2.3,7,2.01,37,10.63,47,13.51,35,10.06,36,10.34,43,12.36,41,11.78,38,10.92,43055
