ward,precinct,total,MATTHEW E. COGHLAN,MATTHEW E. COGHLAN Percent,THOMAS MORE DONNELLY,THOMAS MORE DONNELLY Percent,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,BEVERLY SUSLER PARKHURST,BEVERLY SUSLER PARKHURST Percent,precinct_id
8,21,137,53,38.69,37,27.01,30,21.9,17,12.41,08021
8,22,156,46,29.49,41,26.28,50,32.05,19,12.18,08022
8,23,141,47,33.33,22,15.6,46,32.62,26,18.44,08023
8,24,179,51,28.49,42,23.46,56,31.28,30,16.76,08024
8,25,149,38,25.5,46,30.87,41,27.52,24,16.11,08025
8,26,101,27,26.73,25,24.75,26,25.74,23,22.77,08026
8,27,173,54,31.21,37,21.39,52,30.06,30,17.34,08027
8,28,145,63,43.45,28,19.31,40,27.59,14,9.66,08028
8,29,149,35,23.49,47,31.54,45,30.2,22,14.77,08029
8,30,153,40,26.14,45,29.41,45,29.41,23,15.03,08030
