ward,precinct,total,LOVANA S. JONES (GORE),LOVANA S. JONES (GORE) Percent,TODD H. STROGER (GORE),TODD H. STROGER (GORE) Percent,VIRGINIA A. RUGAI (GORE),VIRGINIA A. RUGAI (GORE) Percent,JERRY BUTLER (GORE),JERRY BUTLER (GORE) Percent,NORMA J. WHITE (GORE),NORMA J. WHITE (GORE) Percent,HENRY M. WILLIAMSON (GORE),HENRY M. WILLIAMSON (GORE) Percent,ROSEMARY M. BILECKI (GORE),ROSEMARY M. BILECKI (GORE) Percent,"SPENCER LEAK, JR. (GORE)","SPENCER LEAK, JR. (GORE) Percent","JOSEPH G. BERTRAND,JR. (BRADLEY)","JOSEPH G. BERTRAND,JR. (BRADLEY) Percent",DELMARIE L. COBB (BRADLEY),DELMARIE L. COBB (BRADLEY) Percent,HOWARD KENNER (BRADLEY),HOWARD KENNER (BRADLEY) Percent,DORIS DAVENPORT (BRADLEY),DORIS DAVENPORT (BRADLEY) Percent,CARLTON E. HULL (BRADLEY),CARLTON E. HULL (BRADLEY) Percent,DENISE ELIGAN (BRADLEY),DENISE ELIGAN (BRADLEY) Percent,MYRON F. MCCOY (BRADLEY),MYRON F. MCCOY (BRADLEY) Percent,CELESTINE M. FULCHON (BRADLEY),CELESTINE M. FULCHON (BRADLEY) Percent,precinct_id
8,53,1271,128,10.07,215,16.92,86,6.77,168,13.22,121,9.52,95,7.47,84,6.61,145,11.41,32,2.52,31,2.44,29,2.28,40,3.15,17,1.34,22,1.73,26,2.05,32,2.52,08053
8,54,1362,140,10.28,194,14.24,103,7.56,171,12.56,130,9.54,116,8.52,97,7.12,158,11.6,29,2.13,38,2.79,36,2.64,35,2.57,17,1.25,30,2.2,39,2.86,29,2.13,08054
8,55,902,90,9.98,141,15.63,72,7.98,117,12.97,86,9.53,78,8.65,75,8.31,94,10.42,18,2.0,21,2.33,15,1.66,26,2.88,16,1.77,16,1.77,20,2.22,17,1.88,08055
8,56,759,80,10.54,125,16.47,62,8.17,103,13.57,74,9.75,64,8.43,59,7.77,91,11.99,14,1.84,16,2.11,16,2.11,17,2.24,7,0.92,10,1.32,10,1.32,11,1.45,08056
8,57,1249,131,10.49,172,13.77,102,8.17,162,12.97,122,9.77,108,8.65,98,7.85,145,11.61,41,3.28,25,2.0,24,1.92,32,2.56,17,1.36,23,1.84,27,2.16,20,1.6,08057
8,58,1332,143,10.74,190,14.26,114,8.56,181,13.59,135,10.14,118,8.86,108,8.11,151,11.34,34,2.55,27,2.03,32,2.4,27,2.03,13,0.98,16,1.2,27,2.03,16,1.2,08058
8,59,1109,121,10.91,160,14.43,83,7.48,151,13.62,105,9.47,101,9.11,79,7.12,122,11.0,19,1.71,23,2.07,23,2.07,34,3.07,14,1.26,25,2.25,28,2.52,21,1.89,08059
8,60,1441,156,10.83,207,14.37,123,8.54,191,13.25,147,10.2,118,8.19,111,7.7,161,11.17,44,3.05,32,2.22,33,2.29,31,2.15,17,1.18,22,1.53,27,1.87,21,1.46,08060
8,61,938,98,10.45,153,16.31,60,6.4,130,13.86,86,9.17,73,7.78,63,6.72,111,11.83,26,2.77,20,2.13,21,2.24,25,2.67,16,1.71,13,1.39,29,3.09,14,1.49,08061
8,62,1684,169,10.04,237,14.07,119,7.07,233,13.84,169,10.04,140,8.31,114,6.77,206,12.23,48,2.85,35,2.08,50,2.97,48,2.85,23,1.37,25,1.48,42,2.49,26,1.54,08062
8,63,1483,156,10.52,203,13.69,126,8.5,196,13.22,154,10.38,122,8.23,113,7.62,174,11.73,45,3.03,31,2.09,31,2.09,36,2.43,21,1.42,24,1.62,32,2.16,19,1.28,08063
