ward,precinct,total,NANCY A. DONAHOE,NANCY A. DONAHOE Percent,LAWRENCE A. SCORDINO,LAWRENCE A. SCORDINO Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,"P. SCOTT NEVILLE, JR.","P. SCOTT NEVILLE, JR. Percent",DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,JOHN JOSEPH DOWNEY,JOHN JOSEPH DOWNEY Percent,precinct_id
1,24,97,41,42.27,9,9.28,10,10.31,11,11.34,15,15.46,11,11.34,01024
1,25,141,49,34.75,7,4.96,13,9.22,25,17.73,27,19.15,20,14.18,01025
1,26,183,57,31.15,21,11.48,10,5.46,38,20.77,29,15.85,28,15.3,01026
1,27,93,38,40.86,7,7.53,7,7.53,16,17.2,12,12.9,13,13.98,01027
1,28,24,11,45.83,2,8.33,3,12.5,5,20.83,0,0.0,3,12.5,01028
1,29,176,43,24.43,23,13.07,18,10.23,40,22.73,25,14.2,27,15.34,01029
1,30,106,36,33.96,16,15.09,13,12.26,16,15.09,13,12.26,12,11.32,01030
1,31,28,8,28.57,1,3.57,1,3.57,8,28.57,8,28.57,2,7.14,01031
1,32,122,37,30.33,13,10.66,8,6.56,24,19.67,15,12.3,25,20.49,01032
1,33,161,66,40.99,13,8.07,9,5.59,38,23.6,25,15.53,10,6.21,01033
1,34,16,4,25.0,1,6.25,0,0.0,6,37.5,3,18.75,2,12.5,01034
1,35,31,11,35.48,4,12.9,4,12.9,8,25.81,2,6.45,2,6.45,01035
1,36,111,43,38.74,10,9.01,6,5.41,20,18.02,20,18.02,12,10.81,01036
2,1,87,31,35.63,6,6.9,6,6.9,14,16.09,22,25.29,8,9.2,02001
2,2,222,51,22.97,6,2.7,13,5.86,98,44.14,35,15.77,19,8.56,02002
2,3,88,33,37.5,8,9.09,10,11.36,6,6.82,14,15.91,17,19.32,02003
2,4,23,6,26.09,2,8.7,4,17.39,6,26.09,2,8.7,3,13.04,02004
2,5,59,17,28.81,4,6.78,5,8.47,17,28.81,9,15.25,7,11.86,02005
2,6,63,22,34.92,5,7.94,7,11.11,15,23.81,9,14.29,5,7.94,02006
2,7,162,43,26.54,5,3.09,18,11.11,41,25.31,35,21.6,20,12.35,02007
2,8,125,44,35.2,3,2.4,10,8.0,37,29.6,31,24.8,0,0.0,02008
2,9,52,19,36.54,4,7.69,4,7.69,4,7.69,12,23.08,9,17.31,02009
2,10,59,21,35.59,2,3.39,4,6.78,10,16.95,11,18.64,11,18.64,02010
2,11,207,66,31.88,7,3.38,9,4.35,43,20.77,63,30.43,19,9.18,02011
2,12,137,39,28.47,6,4.38,13,9.49,46,33.58,20,14.6,13,9.49,02012
2,13,209,43,20.57,5,2.39,18,8.61,84,40.19,34,16.27,25,11.96,02013
2,14,114,27,23.68,2,1.75,11,9.65,42,36.84,25,21.93,7,6.14,02014
2,15,37,18,48.65,0,0.0,3,8.11,4,10.81,5,13.51,7,18.92,02015
2,16,75,12,16.0,5,6.67,10,13.33,25,33.33,11,14.67,12,16.0,02016
2,17,105,33,31.43,4,3.81,6,5.71,33,31.43,17,16.19,12,11.43,02017
2,18,192,42,21.88,5,2.6,17,8.85,84,43.75,18,9.38,26,13.54,02018
2,19,60,18,30.0,5,8.33,9,15.0,14,23.33,5,8.33,9,15.0,02019
2,20,146,28,19.18,5,3.42,5,3.42,74,50.68,14,9.59,20,13.7,02020
2,21,138,39,28.26,6,4.35,9,6.52,50,36.23,21,15.22,13,9.42,02021
2,22,181,52,28.73,6,3.31,14,7.73,42,23.2,59,32.6,8,4.42,02022
2,23,78,23,29.49,1,1.28,11,14.1,22,28.21,10,12.82,11,14.1,02023
2,24,72,19,26.39,3,4.17,3,4.17,33,45.83,10,13.89,4,5.56,02024
2,25,33,12,36.36,1,3.03,4,12.12,12,36.36,1,3.03,3,9.09,02025
2,26,76,22,28.95,4,5.26,3,3.95,30,39.47,9,11.84,8,10.53,02026
2,27,18,8,44.44,0,0.0,1,5.56,4,22.22,1,5.56,4,22.22,02027
2,28,138,34,24.64,7,5.07,4,2.9,33,23.91,35,25.36,25,18.12,02028
2,29,70,18,25.71,10,14.29,7,10.0,11,15.71,15,21.43,9,12.86,02029
2,30,83,23,27.71,2,2.41,3,3.61,26,31.33,16,19.28,13,15.66,02030
2,31,162,32,19.75,2,1.23,19,11.73,67,41.36,27,16.67,15,9.26,02031
2,32,75,24,32.0,3,4.0,7,9.33,17,22.67,11,14.67,13,17.33,02032
