ward,precinct,total,Tom Hanson,Tom Hanson Percent,Jon Stewart,Jon Stewart Percent,Gregory A. Bedell,Gregory A. Bedell Percent,Daniel S. Kay (Karkusiewicz),Daniel S. Kay (Karkusiewicz) Percent,precinct_id
43,7,8,0,0.0,1,12.5,2,25.0,0,0.0,43007
43,8,10,2,20.0,2,20.0,0,0.0,1,10.0,43008
43,12,18,4,22.22,2,11.11,3,16.67,1,5.56,43012
43,14,11,2,18.18,3,27.27,0,0.0,0,0.0,43014
43,17,8,3,37.5,1,12.5,0,0.0,0,0.0,43017
43,20,7,0,0.0,0,0.0,3,42.86,0,0.0,43020
43,21,8,0,0.0,0,0.0,7,87.5,0,0.0,43021
43,22,10,2,20.0,1,10.0,1,10.0,1,10.0,43022
43,27,13,3,23.08,1,7.69,3,23.08,1,7.69,43027
43,29,9,2,22.22,1,11.11,3,33.33,1,11.11,43029
43,31,5,0,0.0,1,20.0,2,40.0,0,0.0,43031
43,32,8,1,12.5,0,0.0,4,50.0,1,12.5,43032
43,33,5,0,0.0,0,0.0,3,60.0,0,0.0,43033
43,34,5,1,20.0,0,0.0,0,0.0,0,0.0,43034
43,38,5,1,20.0,1,20.0,0,0.0,1,20.0,43038
43,43,9,3,33.33,1,11.11,1,11.11,0,0.0,43043
43,44,13,1,7.69,2,15.38,6,46.15,1,7.69,43044
43,45,2,1,50.0,0,0.0,0,0.0,0,0.0,43045
43,48,8,3,37.5,1,12.5,0,0.0,1,12.5,43048
43,50,5,0,0.0,1,20.0,3,60.0,0,0.0,43050
43,53,18,5,27.78,3,16.67,5,27.78,0,0.0,43053
43,56,4,2,50.0,1,25.0,1,25.0,0,0.0,43056
43,57,5,1,20.0,0,0.0,2,40.0,0,0.0,43057
43,58,3,1,33.33,1,33.33,1,33.33,0,0.0,43058
43,59,14,3,21.43,2,14.29,7,50.0,0,0.0,43059
44,1,10,2,20.0,0,0.0,2,20.0,1,10.0,44001
44,2,7,3,42.86,0,0.0,2,28.57,0,0.0,44002
44,5,9,1,11.11,2,22.22,2,22.22,1,11.11,44005
44,6,4,0,0.0,0,0.0,0,0.0,0,0.0,44006
44,8,6,2,33.33,0,0.0,0,0.0,0,0.0,44008
44,9,9,2,22.22,3,33.33,3,33.33,1,11.11,44009
44,10,3,1,33.33,0,0.0,1,33.33,0,0.0,44010
44,11,8,2,25.0,1,12.5,0,0.0,1,12.5,44011
44,12,2,1,50.0,1,50.0,0,0.0,0,0.0,44012
44,13,3,0,0.0,0,0.0,1,33.33,0,0.0,44013
44,14,3,0,0.0,0,0.0,1,33.33,0,0.0,44014
44,15,5,0,0.0,2,40.0,0,0.0,1,20.0,44015
44,16,1,0,0.0,0,0.0,0,0.0,0,0.0,44016
44,17,7,3,42.86,0,0.0,1,14.29,0,0.0,44017
44,18,3,1,33.33,0,0.0,0,0.0,0,0.0,44018
44,19,4,1,25.0,0,0.0,2,50.0,0,0.0,44019
44,20,4,1,25.0,0,0.0,1,25.0,0,0.0,44020
44,21,3,1,33.33,1,33.33,0,0.0,0,0.0,44021
44,22,10,4,40.0,0,0.0,2,20.0,1,10.0,44022
44,23,2,0,0.0,1,50.0,0,0.0,0,0.0,44023
44,24,2,1,50.0,0,0.0,1,50.0,0,0.0,44024
44,25,2,0,0.0,1,50.0,1,50.0,0,0.0,44025
44,26,7,1,14.29,0,0.0,1,14.29,0,0.0,44026
44,27,4,1,25.0,1,25.0,2,50.0,0,0.0,44027
44,28,6,0,0.0,0,0.0,4,66.67,0,0.0,44028
44,29,6,2,33.33,1,16.67,1,16.67,1,16.67,44029
44,30,1,1,100.0,0,0.0,0,0.0,0,0.0,44030
44,31,8,1,12.5,0,0.0,1,12.5,0,0.0,44031
44,32,3,2,66.67,1,33.33,0,0.0,0,0.0,44032
44,33,1,0,0.0,0,0.0,0,0.0,0,0.0,44033
44,34,6,0,0.0,0,0.0,2,33.33,1,16.67,44034
44,36,1,0,0.0,0,0.0,1,100.0,0,0.0,44036
44,37,7,1,14.29,1,14.29,2,28.57,0,0.0,44037
44,38,3,0,0.0,0,0.0,2,66.67,0,0.0,44038
44,39,6,1,16.67,1,16.67,2,33.33,0,0.0,44039
44,40,4,2,50.0,0,0.0,1,25.0,0,0.0,44040
44,41,9,1,11.11,1,11.11,3,33.33,0,0.0,44041
44,42,8,3,37.5,2,25.0,1,12.5,1,12.5,44042
44,43,7,1,14.29,0,0.0,1,14.29,2,28.57,44043
44,44,9,5,55.56,1,11.11,1,11.11,1,11.11,44044
44,45,5,0,0.0,1,20.0,1,20.0,0,0.0,44045
44,46,4,0,0.0,0,0.0,1,25.0,1,25.0,44046
44,47,11,2,18.18,1,9.09,4,36.36,0,0.0,44047
44,50,5,3,60.0,1,20.0,1,20.0,0,0.0,44050
44,51,3,1,33.33,0,0.0,1,33.33,0,0.0,44051
45,1,9,2,22.22,1,11.11,3,33.33,2,22.22,45001
45,2,13,1,7.69,1,7.69,1,7.69,2,15.38,45002
45,3,8,0,0.0,3,37.5,0,0.0,1,12.5,45003
45,4,16,4,25.0,0,0.0,1,6.25,0,0.0,45004
45,5,11,2,18.18,2,18.18,3,27.27,0,0.0,45005
45,6,11,0,0.0,2,18.18,1,9.09,3,27.27,45006
45,7,3,0,0.0,0,0.0,1,33.33,1,33.33,45007
45,8,4,0,0.0,0,0.0,1,25.0,0,0.0,45008
45,9,9,2,22.22,1,11.11,1,11.11,0,0.0,45009
45,10,8,1,12.5,1,12.5,0,0.0,1,12.5,45010
45,11,9,1,11.11,0,0.0,2,22.22,1,11.11,45011
45,12,14,1,7.14,1,7.14,4,28.57,2,14.29,45012
45,13,10,2,20.0,1,10.0,1,10.0,1,10.0,45013
45,14,4,0,0.0,0,0.0,0,0.0,2,50.0,45014
45,15,8,2,25.0,0,0.0,0,0.0,3,37.5,45015
45,16,13,2,15.38,3,23.08,1,7.69,0,0.0,45016
45,17,4,0,0.0,0,0.0,2,50.0,0,0.0,45017
45,18,14,2,14.29,1,7.14,1,7.14,3,21.43,45018
45,19,11,3,27.27,1,9.09,0,0.0,1,9.09,45019
45,20,5,3,60.0,0,0.0,1,20.0,0,0.0,45020
45,21,9,1,11.11,0,0.0,0,0.0,2,22.22,45021
45,22,8,2,25.0,1,12.5,1,12.5,0,0.0,45022
45,23,11,3,27.27,3,27.27,0,0.0,1,9.09,45023
45,24,14,4,28.57,1,7.14,3,21.43,1,7.14,45024
45,25,5,1,20.0,0,0.0,0,0.0,0,0.0,45025
45,26,2,1,50.0,0,0.0,0,0.0,0,0.0,45026
45,27,8,1,12.5,0,0.0,0,0.0,0,0.0,45027
45,28,7,1,14.29,0,0.0,4,57.14,1,14.29,45028
45,29,10,4,40.0,1,10.0,0,0.0,1,10.0,45029
45,30,10,2,20.0,2,20.0,1,10.0,0,0.0,45030
45,31,1,0,0.0,0,0.0,0,0.0,0,0.0,45031
45,32,10,4,40.0,1,10.0,1,10.0,0,0.0,45032
