ward,precinct,total,Dan Dixon (Romney),Dan Dixon (Romney) Percent,George Offord (Romney),George Offord (Romney) Percent,Brian Reaves (Romney),Brian Reaves (Romney) Percent,Josh Marszalik (Paul),Josh Marszalik (Paul) Percent,John Ciesar (Paul),John Ciesar (Paul) Percent,Vivienne Porter (Gingrich),Vivienne Porter (Gingrich) Percent,Julie Ann Craig (Gingrich),Julie Ann Craig (Gingrich) Percent,Thomas Fuchsgruber (Gingrich),Thomas Fuchsgruber (Gingrich) Percent,Dean Mann (Santorum),Dean Mann (Santorum) Percent,Jacqueline Grabowski (Santorum),Jacqueline Grabowski (Santorum) Percent,precinct_id
19,55,115,12,10.43,12,10.43,11,9.57,12,10.43,11,9.57,6,5.22,9,7.83,6,5.22,13,11.3,14,12.17,19055
19,56,143,36,25.17,35,24.48,32,22.38,0,0.0,0,0.0,3,2.1,5,3.5,3,2.1,16,11.19,12,8.39,19056
19,57,74,15,20.27,10,13.51,12,16.22,4,5.41,3,4.05,3,4.05,3,4.05,1,1.35,11,14.86,8,10.81,19057
19,58,163,34,20.86,35,21.47,34,20.86,7,4.29,7,4.29,6,3.68,5,3.07,4,2.45,15,9.2,12,7.36,19058
19,59,174,39,22.41,35,20.11,36,20.69,6,3.45,4,2.3,6,3.45,7,4.02,4,2.3,17,9.77,12,6.9,19059
19,61,90,24,26.67,21,23.33,21,23.33,3,3.33,3,3.33,2,2.22,4,4.44,3,3.33,4,4.44,1,1.11,19061
19,62,90,13,14.44,14,15.56,13,14.44,5,5.56,4,4.44,2,2.22,5,5.56,4,4.44,13,14.44,13,14.44,19062
20,4,21,1,4.76,2,9.52,1,4.76,3,14.29,0,0.0,2,9.52,2,9.52,0,0.0,3,14.29,4,19.05,20004
20,8,6,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,1,16.67,20008
20,21,9,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,20021
20,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20041
23,1,81,10,12.35,9,11.11,13,16.05,2,2.47,1,1.23,7,8.64,10,12.35,6,7.41,12,14.81,10,12.35,23001
23,2,31,3,9.68,3,9.68,2,6.45,4,12.9,2,6.45,1,3.23,0,0.0,0,0.0,6,19.35,6,19.35,23002
23,3,215,33,15.35,26,12.09,24,11.16,8,3.72,10,4.65,7,3.26,12,5.58,8,3.72,36,16.74,43,20.0,23003
23,4,72,11,15.28,14,19.44,12,16.67,6,8.33,4,5.56,4,5.56,3,4.17,2,2.78,5,6.94,6,8.33,23004
23,5,36,3,8.33,4,11.11,1,2.78,4,11.11,1,2.78,2,5.56,2,5.56,2,5.56,7,19.44,7,19.44,23005
