ward,precinct,total,Jeremy Rose (Romney),Jeremy Rose (Romney) Percent,Branden J Ozga (Romney),Branden J Ozga (Romney) Percent,Joann Finger (McCain),Joann Finger (McCain) Percent,Will Callard (McCain),Will Callard (McCain) Percent,Nickolas John Herringshaw (Paul),Nickolas John Herringshaw (Paul) Percent,Susan Radzinowicz (Thompson),Susan Radzinowicz (Thompson) Percent,Robert Sargus (Thompson),Robert Sargus (Thompson) Percent,Kevin Hacker (Giuliani),Kevin Hacker (Giuliani) Percent,Robert R. Rodman IV (Giuliani),Robert R. Rodman IV (Giuliani) Percent,precinct_id
43,29,85,13,15.29,13,15.29,22,25.88,21,24.71,3,3.53,1,1.18,2,2.35,4,4.71,4,4.71,43029
43,31,80,13,16.25,13,16.25,19,23.75,21,26.25,1,1.25,3,3.75,2,2.5,3,3.75,3,3.75,43031
43,32,67,10,14.93,9,13.43,20,29.85,17,25.37,3,4.48,3,4.48,2,2.99,0,0.0,0,0.0,43032
43,33,61,13,21.31,12,19.67,14,22.95,15,24.59,1,1.64,0,0.0,0,0.0,2,3.28,3,4.92,43033
43,34,51,6,11.76,8,15.69,18,35.29,15,29.41,0,0.0,0,0.0,2,3.92,2,3.92,0,0.0,43034
43,38,60,11,18.33,9,15.0,15,25.0,17,28.33,2,3.33,2,3.33,1,1.67,0,0.0,0,0.0,43038
43,43,98,15,15.31,14,14.29,30,30.61,29,29.59,1,1.02,2,2.04,1,1.02,3,3.06,2,2.04,43043
43,44,94,15,15.96,15,15.96,27,28.72,28,29.79,1,1.06,1,1.06,1,1.06,2,2.13,2,2.13,43044
43,45,34,6,17.65,4,11.76,12,35.29,9,26.47,0,0.0,0,0.0,0,0.0,1,2.94,1,2.94,43045
43,48,87,8,9.2,10,11.49,31,35.63,31,35.63,2,2.3,0,0.0,0,0.0,1,1.15,2,2.3,43048
43,50,69,10,14.49,10,14.49,18,26.09,16,23.19,4,5.8,0,0.0,0,0.0,3,4.35,2,2.9,43050
43,53,109,13,11.93,15,13.76,35,32.11,28,25.69,2,1.83,0,0.0,2,1.83,3,2.75,6,5.5,43053
43,56,64,4,6.25,4,6.25,25,39.06,23,35.94,2,3.13,0,0.0,0,0.0,2,3.13,2,3.13,43056
43,57,87,20,22.99,18,20.69,21,24.14,20,22.99,2,2.3,1,1.15,0,0.0,1,1.15,0,0.0,43057
43,58,57,2,3.51,2,3.51,23,40.35,21,36.84,0,0.0,1,1.75,1,1.75,4,7.02,3,5.26,43058
43,59,95,14,14.74,16,16.84,30,31.58,26,27.37,2,2.11,1,1.05,0,0.0,1,1.05,1,1.05,43059
44,1,65,6,9.23,6,9.23,22,33.85,19,29.23,4,6.15,0,0.0,0,0.0,1,1.54,1,1.54,44001
44,2,43,6,13.95,4,9.3,15,34.88,14,32.56,1,2.33,0,0.0,0,0.0,1,2.33,1,2.33,44002
44,5,78,13,16.67,11,14.1,19,24.36,18,23.08,3,3.85,2,2.56,1,1.28,2,2.56,2,2.56,44005
44,6,75,6,8.0,5,6.67,23,30.67,21,28.0,6,8.0,5,6.67,2,2.67,0,0.0,0,0.0,44006
44,8,34,5,14.71,4,11.76,8,23.53,6,17.65,3,8.82,0,0.0,0,0.0,3,8.82,2,5.88,44008
44,9,79,10,12.66,8,10.13,26,32.91,25,31.65,2,2.53,2,2.53,1,1.27,1,1.27,1,1.27,44009
44,10,60,14,23.33,9,15.0,12,20.0,11,18.33,4,6.67,0,0.0,0,0.0,3,5.0,3,5.0,44010
44,11,62,15,24.19,9,14.52,15,24.19,15,24.19,2,3.23,1,1.61,0,0.0,0,0.0,0,0.0,44011
44,12,47,5,10.64,5,10.64,18,38.3,19,40.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44012
44,13,72,8,11.11,8,11.11,25,34.72,26,36.11,3,4.17,0,0.0,0,0.0,0,0.0,0,0.0,44013
44,14,47,8,17.02,7,14.89,13,27.66,10,21.28,3,6.38,0,0.0,0,0.0,2,4.26,1,2.13,44014
44,15,77,16,20.78,13,16.88,21,27.27,14,18.18,2,2.6,1,1.3,1,1.3,3,3.9,2,2.6,44015
44,16,56,9,16.07,8,14.29,15,26.79,17,30.36,1,1.79,1,1.79,1,1.79,1,1.79,1,1.79,44016
44,17,76,17,22.37,15,19.74,18,23.68,17,22.37,2,2.63,0,0.0,1,1.32,1,1.32,1,1.32,44017
44,18,52,10,19.23,7,13.46,14,26.92,12,23.08,1,1.92,0,0.0,0,0.0,4,7.69,3,5.77,44018
44,19,30,8,26.67,6,20.0,8,26.67,5,16.67,1,3.33,0,0.0,0,0.0,1,3.33,0,0.0,44019
44,20,62,5,8.06,4,6.45,17,27.42,17,27.42,5,8.06,2,3.23,2,3.23,3,4.84,1,1.61,44020
44,21,83,10,12.05,8,9.64,23,27.71,20,24.1,9,10.84,1,1.2,0,0.0,2,2.41,2,2.41,44021
44,22,83,10,12.05,5,6.02,28,33.73,26,31.33,5,6.02,1,1.2,0,0.0,2,2.41,2,2.41,44022
44,23,60,7,11.67,2,3.33,20,33.33,15,25.0,5,8.33,0,0.0,1,1.67,2,3.33,2,3.33,44023
44,24,51,8,15.69,6,11.76,14,27.45,12,23.53,4,7.84,1,1.96,1,1.96,0,0.0,1,1.96,44024
44,25,99,16,16.16,11,11.11,29,29.29,29,29.29,2,2.02,2,2.02,2,2.02,4,4.04,1,1.01,44025
44,26,60,5,8.33,5,8.33,19,31.67,17,28.33,5,8.33,0,0.0,1,1.67,1,1.67,2,3.33,44026
44,27,103,11,10.68,10,9.71,33,32.04,33,32.04,5,4.85,1,0.97,0,0.0,1,0.97,3,2.91,44027
44,28,69,14,20.29,11,15.94,16,23.19,16,23.19,5,7.25,0,0.0,0,0.0,1,1.45,2,2.9,44028
44,29,101,9,8.91,9,8.91,34,33.66,30,29.7,8,7.92,1,0.99,1,0.99,0,0.0,1,0.99,44029
44,30,40,4,10.0,3,7.5,11,27.5,9,22.5,5,12.5,0,0.0,0,0.0,1,2.5,1,2.5,44030
44,31,80,9,11.25,7,8.75,27,33.75,25,31.25,5,6.25,0,0.0,0,0.0,1,1.25,0,0.0,44031
44,32,46,4,8.7,4,8.7,17,36.96,18,39.13,0,0.0,0,0.0,0,0.0,2,4.35,0,0.0,44032
44,33,33,6,18.18,3,9.09,10,30.3,8,24.24,3,9.09,0,0.0,0,0.0,0,0.0,0,0.0,44033
44,34,40,7,17.5,8,20.0,12,30.0,8,20.0,2,5.0,0,0.0,1,2.5,0,0.0,0,0.0,44034
