ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Dan Brady,Dan Brady Percent,Jon Stewart,Jon Stewart Percent,precinct_id
32,10,991,786,79.31,181,18.26,24,2.42,32010
32,11,627,494,78.79,118,18.82,15,2.39,32011
32,12,358,276,77.09,76,21.23,6,1.68,32012
32,13,250,176,70.4,69,27.6,5,2.0,32013
32,14,1089,908,83.38,162,14.88,19,1.74,32014
32,15,1129,864,76.53,252,22.32,13,1.15,32015
32,16,519,416,80.15,93,17.92,10,1.93,32016
32,17,1003,784,78.17,199,19.84,20,1.99,32017
32,18,400,342,85.5,52,13.0,6,1.5,32018
32,19,448,375,83.71,62,13.84,11,2.46,32019
32,20,1046,807,77.15,223,21.32,16,1.53,32020
32,21,958,831,86.74,104,10.86,23,2.4,32021
32,22,957,812,84.85,123,12.85,22,2.3,32022
32,23,634,533,84.07,84,13.25,17,2.68,32023
32,24,348,274,78.74,66,18.97,8,2.3,32024
32,25,728,595,81.73,123,16.9,10,1.37,32025
32,26,958,780,81.42,161,16.81,17,1.77,32026
32,27,941,827,87.89,96,10.2,18,1.91,32027
32,28,290,238,82.07,45,15.52,7,2.41,32028
32,29,734,631,85.97,87,11.85,16,2.18,32029
32,30,924,798,86.36,101,10.93,25,2.71,32030
33,1,965,824,85.39,115,11.92,26,2.69,33001
33,2,1033,917,88.77,95,9.2,21,2.03,33002
33,3,743,638,85.87,85,11.44,20,2.69,33003
33,4,997,839,84.15,134,13.44,24,2.41,33004
33,5,820,691,84.27,108,13.17,21,2.56,33005
33,6,867,751,86.62,99,11.42,17,1.96,33006
33,7,821,696,84.77,107,13.03,18,2.19,33007
33,8,590,514,87.12,63,10.68,13,2.2,33008
33,9,636,528,83.02,103,16.19,5,0.79,33009
33,10,600,526,87.67,62,10.33,12,2.0,33010
33,11,486,415,85.39,56,11.52,15,3.09,33011
33,12,743,659,88.69,70,9.42,14,1.88,33012
33,13,671,558,83.16,95,14.16,18,2.68,33013
33,14,865,776,89.71,71,8.21,18,2.08,33014
33,15,656,580,88.41,57,8.69,19,2.9,33015
