ward,precinct,total,WILLIAM B. RAINES,WILLIAM B. RAINES Percent,KERRY M. KENNEDY,KERRY M. KENNEDY Percent,PENELOPE MORRIS,PENELOPE MORRIS Percent,precinct_id
9,50,260,72,27.69,90,34.62,98,37.69,09050
9,51,150,58,38.67,51,34.0,41,27.33,09051
9,52,199,68,34.17,75,37.69,56,28.14,09052
10,1,108,25,23.15,45,41.67,38,35.19,10001
10,2,98,22,22.45,54,55.1,22,22.45,10002
10,3,103,21,20.39,62,60.19,20,19.42,10003
10,4,112,21,18.75,66,58.93,25,22.32,10004
10,5,111,28,25.23,60,54.05,23,20.72,10005
10,6,232,95,40.95,68,29.31,69,29.74,10006
10,7,31,8,25.81,16,51.61,7,22.58,10007
10,8,123,24,19.51,74,60.16,25,20.33,10008
10,9,135,33,24.44,79,58.52,23,17.04,10009
