ward,precinct,total,Brandon Johnson (Elizabeth Warren),Brandon Johnson (Elizabeth Warren) Percent,Jamie Brown (Elizabeth Warren),Jamie Brown (Elizabeth Warren) Percent,Frederick ''Fritz'' Kaegi (Elizabeth W,Frederick ''Fritz'' Kaegi (Elizabeth W Percent,Mony Ruiz Velasco (Elizabeth Warren),Mony Ruiz Velasco (Elizabeth Warren) Percent,Marlon D. Harris (Elizabeth Warren),Marlon D. Harris (Elizabeth Warren) Percent,Harlene Ellin (Elizabeth Warren),Harlene Ellin (Elizabeth Warren) Percent,Mihir Garud (Elizabeth Warren),Mihir Garud (Elizabeth Warren) Percent,Benetta Mansfield (Elizabeth Warren),Benetta Mansfield (Elizabeth Warren) Percent,Mary Ann Abbott (Andrew Yang),Mary Ann Abbott (Andrew Yang) Percent,Elizabeth Henricks (Andrew Yang),Elizabeth Henricks (Andrew Yang) Percent,Steven Dyme (Andrew Yang),Steven Dyme (Andrew Yang) Percent,Yvonne O'Connor (Andrew Yang),Yvonne O'Connor (Andrew Yang) Percent,Peter Wojda IV (Andrew Yang),Peter Wojda IV (Andrew Yang) Percent,Rudyard ''Rudy'' Urian (Andrew Yang),Rudyard ''Rudy'' Urian (Andrew Yang) Percent,Marty Castro (Pete Buttigieg),Marty Castro (Pete Buttigieg) Percent,Eric Davis (Pete Buttigieg),Eric Davis (Pete Buttigieg) Percent,Thomas Gary (Pete Buttigieg),Thomas Gary (Pete Buttigieg) Percent,Marla Izbicky (Pete Buttigieg),Marla Izbicky (Pete Buttigieg) Percent,Amalia Mahoney (Pete Buttigieg),Amalia Mahoney (Pete Buttigieg) Percent,Cristal Thomas Gary (Pete Buttigieg),Cristal Thomas Gary (Pete Buttigieg) Percent,Claudia Moreno-Nunez (Bernie Sanders),Claudia Moreno-Nunez (Bernie Sanders) Percent,Julie Lehrman (Bernie Sanders),Julie Lehrman (Bernie Sanders) Percent,Martese Luzette Chism (Bernie Sanders),Martese Luzette Chism (Bernie Sanders) Percent,Ojus Khanolkar (Bernie Sanders),Ojus Khanolkar (Bernie Sanders) Percent,Dominique Coronel (Bernie Sanders),Dominique Coronel (Bernie Sanders) Percent,Miguel Bautista (Bernie Sanders),Miguel Bautista (Bernie Sanders) Percent,Ronald Lawless (Bernie Sanders),Ronald Lawless (Bernie Sanders) Percent,Tim Thomas (Bernie Sanders),Tim Thomas (Bernie Sanders) Percent,Barton Moy (Amy J. Klobuchar),Barton Moy (Amy J. Klobuchar) Percent,Gail M. Silver (Amy J. Klobuchar),Gail M. Silver (Amy J. Klobuchar) Percent,Joan L. Long (Amy J. Klobuchar),Joan L. Long (Amy J. Klobuchar) Percent,Addison Woodward (Amy J. Klobuchar),Addison Woodward (Amy J. Klobuchar) Percent,Ann Henstrand (Amy J. Klobuchar),Ann Henstrand (Amy J. Klobuchar) Percent,Jennifer Vincent (Amy J. Klobuchar),Jennifer Vincent (Amy J. Klobuchar) Percent,Markayle Tolliver (Amy J. Klobuchar),Markayle Tolliver (Amy J. Klobuchar) Percent,Thomas A. (Tom) Ciavarella (Amy J. Klo,Thomas A. (Tom) Ciavarella (Amy J. Klo Percent,precinct_id
17,12,1370,23,1.68,14,1.02,11,0.8,31,2.26,16,1.17,9,0.66,7,0.51,8,0.58,8,0.58,10,0.73,4,0.29,7,0.51,7,0.51,5,0.36,12,0.88,4,0.29,1,0.07,4,0.29,8,0.58,2,0.15,107,7.81,89,6.5,82,5.99,81,5.91,91,6.64,104,7.59,74,5.4,75,5.47,1,0.07,2,0.15,4,0.29,1,0.07,1,0.07,5,0.36,1,0.07,2,0.15,17012
17,13,762,22,2.89,11,1.44,8,1.05,8,1.05,10,1.31,12,1.57,7,0.92,13,1.71,6,0.79,8,1.05,4,0.52,3,0.39,3,0.39,4,0.52,2,0.26,3,0.39,3,0.39,0,0.0,1,0.13,2,0.26,24,3.15,28,3.67,14,1.84,17,2.23,15,1.97,17,2.23,13,1.71,11,1.44,4,0.52,2,0.26,3,0.39,2,0.26,3,0.39,2,0.26,2,0.26,0,0.0,17013
17,14,996,15,1.51,10,1.0,4,0.4,15,1.51,8,0.8,4,0.4,4,0.4,6,0.6,3,0.3,9,0.9,2,0.2,5,0.5,2,0.2,2,0.2,1,0.1,2,0.2,2,0.2,3,0.3,5,0.5,3,0.3,71,7.13,58,5.82,54,5.42,53,5.32,62,6.22,61,6.12,51,5.12,51,5.12,4,0.4,2,0.2,3,0.3,2,0.2,1,0.1,2,0.2,0,0.0,3,0.3,17014
17,16,324,7,2.16,5,1.54,7,2.16,8,2.47,6,1.85,6,1.85,7,2.16,6,1.85,1,0.31,2,0.62,0,0.0,1,0.31,0,0.0,3,0.93,2,0.62,6,1.85,2,0.62,0,0.0,2,0.62,0,0.0,15,4.63,17,5.25,10,3.09,12,3.7,16,4.94,17,5.25,14,4.32,13,4.01,1,0.31,0,0.0,0,0.0,0,0.0,1,0.31,1,0.31,0,0.0,2,0.62,17016
17,19,678,13,1.92,10,1.47,7,1.03,9,1.33,6,0.88,8,1.18,6,0.88,8,1.18,7,1.03,5,0.74,7,1.03,6,0.88,2,0.29,4,0.59,3,0.44,6,0.88,5,0.74,1,0.15,3,0.44,1,0.15,20,2.95,20,2.95,17,2.51,14,2.06,12,1.77,17,2.51,13,1.92,20,2.95,1,0.15,4,0.59,1,0.15,2,0.29,0,0.0,1,0.15,0,0.0,3,0.44,17019
17,25,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17025
17,31,733,16,2.18,19,2.59,8,1.09,7,0.95,9,1.23,11,1.5,8,1.09,12,1.64,8,1.09,9,1.23,8,1.09,10,1.36,5,0.68,9,1.23,3,0.41,2,0.27,4,0.55,3,0.41,2,0.27,2,0.27,28,3.82,20,2.73,21,2.86,22,3.0,19,2.59,17,2.32,14,1.91,18,2.46,2,0.27,2,0.27,2,0.27,3,0.41,0,0.0,3,0.41,1,0.14,3,0.41,17031
17,33,488,14,2.87,9,1.84,3,0.61,5,1.02,9,1.84,4,0.82,5,1.02,7,1.43,6,1.23,4,0.82,4,0.82,6,1.23,3,0.61,2,0.41,3,0.61,1,0.2,1,0.2,2,0.41,3,0.61,0,0.0,21,4.3,15,3.07,18,3.69,17,3.48,17,3.48,16,3.28,15,3.07,17,3.48,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,3,0.61,0,0.0,3,0.61,17033
17,35,370,11,2.97,6,1.62,5,1.35,4,1.08,4,1.08,3,0.81,3,0.81,4,1.08,4,1.08,5,1.35,4,1.08,3,0.81,1,0.27,1,0.27,1,0.27,3,0.81,1,0.27,0,0.0,0,0.0,0,0.0,14,3.78,17,4.59,12,3.24,15,4.05,17,4.59,15,4.05,13,3.51,11,2.97,1,0.27,0,0.0,0,0.0,1,0.27,0,0.0,1,0.27,2,0.54,0,0.0,17035
17,36,220,4,1.82,1,0.45,2,0.91,0,0.0,1,0.45,1,0.45,3,1.36,1,0.45,1,0.45,1,0.45,0,0.0,3,1.36,0,0.0,1,0.45,0,0.0,1,0.45,1,0.45,0,0.0,0,0.0,0,0.0,14,6.36,14,6.36,11,5.0,9,4.09,12,5.45,12,5.45,12,5.45,10,4.55,0,0.0,0,0.0,1,0.45,0,0.0,0,0.0,2,0.91,0,0.0,1,0.45,17036
20,2,317,9,2.84,8,2.52,2,0.63,3,0.95,4,1.26,2,0.63,2,0.63,3,0.95,5,1.58,3,0.95,2,0.63,1,0.32,1,0.32,1,0.32,1,0.32,3,0.95,3,0.95,2,0.63,0,0.0,1,0.32,8,2.52,5,1.58,8,2.52,9,2.84,9,2.84,11,3.47,7,2.21,12,3.79,2,0.63,1,0.32,1,0.32,0,0.0,0,0.0,3,0.95,1,0.32,1,0.32,20002
20,4,276,5,1.81,3,1.09,3,1.09,1,0.36,4,1.45,3,1.09,1,0.36,3,1.09,3,1.09,1,0.36,0,0.0,1,0.36,1,0.36,2,0.72,1,0.36,2,0.72,1,0.36,2,0.72,2,0.72,1,0.36,7,2.54,7,2.54,9,3.26,10,3.62,11,3.99,10,3.62,6,2.17,6,2.17,0,0.0,1,0.36,2,0.72,0,0.0,1,0.36,3,1.09,0,0.0,0,0.0,20004
20,6,450,7,1.56,10,2.22,5,1.11,3,0.67,6,1.33,4,0.89,1,0.22,2,0.44,4,0.89,5,1.11,2,0.44,1,0.22,0,0.0,4,0.89,2,0.44,3,0.67,3,0.67,1,0.22,1,0.22,3,0.67,20,4.44,18,4.0,17,3.78,15,3.33,16,3.56,16,3.56,15,3.33,15,3.33,1,0.22,4,0.89,0,0.0,0,0.0,1,0.22,1,0.22,0,0.0,2,0.44,20006
20,11,613,16,2.61,15,2.45,9,1.47,4,0.65,13,2.12,9,1.47,6,0.98,8,1.31,5,0.82,4,0.65,4,0.65,4,0.65,0,0.0,2,0.33,3,0.49,2,0.33,1,0.16,1,0.16,0,0.0,0,0.0,25,4.08,21,3.43,19,3.1,19,3.1,25,4.08,20,3.26,18,2.94,20,3.26,1,0.16,2,0.33,1,0.16,3,0.49,0,0.0,1,0.16,1,0.16,1,0.16,20011
20,15,625,1,0.16,5,0.8,2,0.32,8,1.28,1,0.16,1,0.16,0,0.0,1,0.16,3,0.48,5,0.8,2,0.32,0,0.0,1,0.16,1,0.16,7,1.12,0,0.0,1,0.16,1,0.16,2,0.32,1,0.16,70,11.2,48,7.68,50,8.0,46,7.36,48,7.68,64,10.24,45,7.2,52,8.32,2,0.32,1,0.16,2,0.32,2,0.32,1,0.16,3,0.48,0,0.0,0,0.0,20015
20,17,785,16,2.04,12,1.53,6,0.76,15,1.91,13,1.66,9,1.15,5,0.64,13,1.66,4,0.51,2,0.25,2,0.25,2,0.25,1,0.13,3,0.38,6,0.76,2,0.25,0,0.0,1,0.13,4,0.51,0,0.0,61,7.77,49,6.24,48,6.11,44,5.61,47,5.99,55,7.01,37,4.71,40,5.1,3,0.38,3,0.38,1,0.13,2,0.25,3,0.38,2,0.25,2,0.25,3,0.38,20017
20,20,658,11,1.67,6,0.91,7,1.06,13,1.98,5,0.76,4,0.61,2,0.3,5,0.76,5,0.76,4,0.61,5,0.76,2,0.3,3,0.46,1,0.15,3,0.46,0,0.0,0,0.0,2,0.3,0,0.0,1,0.15,56,8.51,44,6.69,45,6.84,41,6.23,47,7.14,49,7.45,42,6.38,39,5.93,1,0.15,1,0.15,2,0.3,0,0.0,2,0.3,2,0.3,1,0.15,1,0.15,20020
20,21,841,14,1.66,14,1.66,8,0.95,8,0.95,9,1.07,13,1.55,7,0.83,8,0.95,9,1.07,5,0.59,8,0.95,8,0.95,3,0.36,4,0.48,3,0.36,6,0.71,3,0.36,5,0.59,1,0.12,3,0.36,40,4.76,31,3.69,30,3.57,25,2.97,35,4.16,27,3.21,22,2.62,25,2.97,1,0.12,3,0.36,1,0.12,4,0.48,0,0.0,1,0.12,1,0.12,1,0.12,20021
20,25,762,15,1.97,15,1.97,4,0.52,5,0.66,8,1.05,6,0.79,3,0.39,6,0.79,6,0.79,1,0.13,6,0.79,1,0.13,1,0.13,2,0.26,2,0.26,7,0.92,1,0.13,1,0.13,2,0.26,2,0.26,26,3.41,21,2.76,20,2.62,24,3.15,28,3.67,28,3.67,21,2.76,20,2.62,2,0.26,3,0.39,1,0.13,2,0.26,0,0.0,1,0.13,0,0.0,2,0.26,20025
20,27,170,3,1.76,2,1.18,3,1.76,0,0.0,2,1.18,1,0.59,2,1.18,2,1.18,1,0.59,2,1.18,2,1.18,1,0.59,1,0.59,1,0.59,2,1.18,1,0.59,1,0.59,0,0.0,0,0.0,0,0.0,7,4.12,7,4.12,5,2.94,5,2.94,5,2.94,6,3.53,5,2.94,6,3.53,0,0.0,1,0.59,0,0.0,2,1.18,0,0.0,0,0.0,1,0.59,0,0.0,20027
20,30,401,2,0.5,4,1.0,3,0.75,1,0.25,2,0.5,2,0.5,0,0.0,4,1.0,1,0.25,3,0.75,1,0.25,1,0.25,1,0.25,1,0.25,0,0.0,1,0.25,1,0.25,1,0.25,0,0.0,0,0.0,13,3.24,13,3.24,11,2.74,11,2.74,13,3.24,14,3.49,11,2.74,9,2.24,0,0.0,1,0.25,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,1,0.25,20030
20,31,925,14,1.51,11,1.19,9,0.97,7,0.76,9,0.97,8,0.86,6,0.65,9,0.97,5,0.54,5,0.54,2,0.22,4,0.43,3,0.32,5,0.54,1,0.11,4,0.43,2,0.22,3,0.32,3,0.32,2,0.22,31,3.35,33,3.57,34,3.68,33,3.57,32,3.46,33,3.57,30,3.24,30,3.24,1,0.11,0,0.0,2,0.22,2,0.22,0,0.0,2,0.22,0,0.0,0,0.0,20031
20,32,971,19,1.96,22,2.27,10,1.03,10,1.03,14,1.44,7,0.72,5,0.51,11,1.13,9,0.93,6,0.62,4,0.41,6,0.62,0,0.0,6,0.62,3,0.31,7,0.72,4,0.41,2,0.21,3,0.31,3,0.31,41,4.22,25,2.57,28,2.88,29,2.99,36,3.71,33,3.4,28,2.88,26,2.68,2,0.21,2,0.21,3,0.31,1,0.1,1,0.1,2,0.21,1,0.1,2,0.21,20032
20,36,327,4,1.22,6,1.83,2,0.61,2,0.61,3,0.92,1,0.31,3,0.92,2,0.61,3,0.92,0,0.0,1,0.31,2,0.61,0,0.0,1,0.31,1,0.31,3,0.92,0,0.0,1,0.31,0,0.0,0,0.0,5,1.53,5,1.53,3,0.92,5,1.53,5,1.53,5,1.53,4,1.22,4,1.22,1,0.31,1,0.31,1,0.31,0,0.0,0,0.0,0,0.0,1,0.31,1,0.31,20036
20,37,16,0,0.0,1,6.25,0,0.0,0,0.0,0,0.0,2,12.5,0,0.0,1,6.25,2,12.5,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,2,12.5,0,0.0,0,0.0,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20037
20,38,339,7,2.06,4,1.18,4,1.18,4,1.18,3,0.88,7,2.06,4,1.18,3,0.88,1,0.29,1,0.29,1,0.29,2,0.59,1,0.29,1,0.29,1,0.29,1,0.29,2,0.59,1,0.29,1,0.29,1,0.29,19,5.6,19,5.6,18,5.31,16,4.72,19,5.6,17,5.01,18,5.31,15,4.42,1,0.29,1,0.29,0,0.0,0,0.0,0,0.0,2,0.59,0,0.0,1,0.29,20038
20,39,99,1,1.01,1,1.01,0,0.0,1,1.01,1,1.01,2,2.02,1,1.01,1,1.01,0,0.0,1,1.01,1,1.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,4.04,3,3.03,3,3.03,4,4.04,3,3.03,5,5.05,3,3.03,4,4.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20039
22,14,729,7,0.96,8,1.1,3,0.41,9,1.23,1,0.14,6,0.82,1,0.14,6,0.82,3,0.41,3,0.41,2,0.27,2,0.27,0,0.0,2,0.27,3,0.41,1,0.14,3,0.41,1,0.14,0,0.0,2,0.27,61,8.37,49,6.72,52,7.13,47,6.45,44,6.04,53,7.27,43,5.9,42,5.76,1,0.14,2,0.27,1,0.14,0,0.0,1,0.14,0,0.0,0,0.0,2,0.27,22014
22,15,38,2,5.26,0,0.0,0,0.0,2,5.26,0,0.0,0,0.0,1,2.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.63,0,0.0,0,0.0,0,0.0,0,0.0,1,2.63,4,10.53,2,5.26,2,5.26,3,7.89,2,5.26,5,13.16,2,5.26,2,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.63,22015
22,19,554,8,1.44,4,0.72,4,0.72,3,0.54,2,0.36,1,0.18,3,0.54,1,0.18,2,0.36,2,0.36,1,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.18,34,6.14,29,5.23,28,5.05,27,4.87,28,5.05,28,5.05,24,4.33,24,4.33,0,0.0,0,0.0,0,0.0,0,0.0,1,0.18,0,0.0,0,0.0,1,0.18,22019
22,21,1205,20,1.66,16,1.33,7,0.58,9,0.75,15,1.24,13,1.08,9,0.75,9,0.75,12,1.0,8,0.66,6,0.5,7,0.58,3,0.25,4,0.33,8,0.66,10,0.83,6,0.5,3,0.25,2,0.17,6,0.5,47,3.9,45,3.73,29,2.41,32,2.66,34,2.82,38,3.15,35,2.9,28,2.32,2,0.17,2,0.17,0,0.0,3,0.25,1,0.08,3,0.25,1,0.08,0,0.0,22021
23,17,293,3,1.02,3,1.02,3,1.02,6,2.05,3,1.02,3,1.02,2,0.68,4,1.37,1,0.34,2,0.68,0,0.0,1,0.34,0,0.0,1,0.34,1,0.34,1,0.34,1,0.34,1,0.34,1,0.34,0,0.0,34,11.6,26,8.87,25,8.53,25,8.53,27,9.22,32,10.92,22,7.51,21,7.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23017
23,19,441,3,0.68,1,0.23,2,0.45,11,2.49,2,0.45,4,0.91,1,0.23,4,0.91,4,0.91,6,1.36,0,0.0,2,0.45,2,0.45,2,0.45,4,0.91,2,0.45,1,0.23,1,0.23,0,0.0,1,0.23,42,9.52,36,8.16,32,7.26,29,6.58,37,8.39,47,10.66,30,6.8,26,5.9,1,0.23,2,0.45,1,0.23,0,0.0,0,0.0,3,0.68,0,0.0,1,0.23,23019
23,31,199,2,1.01,3,1.51,0,0.0,4,2.01,2,1.01,0,0.0,0,0.0,1,0.5,2,1.01,3,1.51,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,18,9.05,16,8.04,15,7.54,15,7.54,15,7.54,17,8.54,11,5.53,9,4.52,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,2,1.01,1,0.5,23031
24,1,1119,23,2.06,17,1.52,16,1.43,6,0.54,17,1.52,11,0.98,8,0.71,6,0.54,8,0.71,8,0.71,4,0.36,4,0.36,5,0.45,4,0.36,3,0.27,6,0.54,3,0.27,0,0.0,4,0.36,3,0.27,28,2.5,28,2.5,30,2.68,22,1.97,31,2.77,28,2.5,29,2.59,26,2.32,1,0.09,3,0.27,0,0.0,2,0.18,1,0.09,4,0.36,0,0.0,3,0.27,24001
24,2,928,19,2.05,11,1.19,6,0.65,3,0.32,13,1.4,5,0.54,6,0.65,9,0.97,3,0.32,6,0.65,3,0.32,9,0.97,2,0.22,2,0.22,4,0.43,4,0.43,2,0.22,2,0.22,3,0.32,1,0.11,36,3.88,26,2.8,27,2.91,24,2.59,26,2.8,24,2.59,23,2.48,27,2.91,1,0.11,1,0.11,2,0.22,4,0.43,0,0.0,1,0.11,1,0.11,2,0.22,24002
24,3,1089,14,1.29,9,0.83,11,1.01,4,0.37,10,0.92,11,1.01,4,0.37,6,0.55,2,0.18,4,0.37,1,0.09,3,0.28,0,0.0,3,0.28,5,0.46,5,0.46,3,0.28,2,0.18,1,0.09,3,0.28,52,4.78,48,4.41,42,3.86,41,3.76,46,4.22,42,3.86,39,3.58,36,3.31,2,0.18,3,0.28,1,0.09,1,0.09,0,0.0,2,0.18,3,0.28,1,0.09,24003
24,4,801,20,2.5,16,2.0,7,0.87,5,0.62,9,1.12,10,1.25,10,1.25,10,1.25,4,0.5,5,0.62,5,0.62,8,1.0,4,0.5,1,0.12,6,0.75,5,0.62,2,0.25,2,0.25,2,0.25,1,0.12,27,3.37,23,2.87,19,2.37,16,2.0,26,3.25,19,2.37,22,2.75,19,2.37,3,0.37,4,0.5,3,0.37,2,0.25,3,0.37,3,0.37,1,0.12,3,0.37,24004
24,5,507,8,1.58,5,0.99,3,0.59,4,0.79,4,0.79,6,1.18,2,0.39,4,0.79,2,0.39,2,0.39,1,0.2,2,0.39,2,0.39,2,0.39,1,0.2,1,0.2,2,0.39,1,0.2,1,0.2,2,0.39,18,3.55,13,2.56,14,2.76,12,2.37,16,3.16,14,2.76,13,2.56,11,2.17,1,0.2,0,0.0,1,0.2,0,0.0,1,0.2,3,0.59,0,0.0,1,0.2,24005
24,6,1229,42,3.42,23,1.87,19,1.55,15,1.22,22,1.79,17,1.38,10,0.81,12,0.98,3,0.24,4,0.33,2,0.16,3,0.24,1,0.08,2,0.16,1,0.08,3,0.24,2,0.16,2,0.16,1,0.08,1,0.08,47,3.82,42,3.42,48,3.91,41,3.34,47,3.82,42,3.42,41,3.34,33,2.69,1,0.08,0,0.0,2,0.16,2,0.16,1,0.08,2,0.16,1,0.08,1,0.08,24006
24,7,851,11,1.29,8,0.94,4,0.47,15,1.76,5,0.59,6,0.71,6,0.71,8,0.94,3,0.35,2,0.24,2,0.24,2,0.24,0,0.0,2,0.24,5,0.59,2,0.24,2,0.24,2,0.24,2,0.24,1,0.12,81,9.52,73,8.58,75,8.81,70,8.23,73,8.58,77,9.05,65,7.64,68,7.99,1,0.12,0,0.0,1,0.12,0,0.0,0,0.0,0,0.0,1,0.12,0,0.0,24007
24,8,409,9,2.2,7,1.71,3,0.73,1,0.24,2,0.49,2,0.49,0,0.0,1,0.24,3,0.73,1,0.24,0,0.0,3,0.73,1,0.24,2,0.49,3,0.73,4,0.98,2,0.49,1,0.24,0,0.0,2,0.49,9,2.2,12,2.93,13,3.18,13,3.18,11,2.69,13,3.18,13,3.18,10,2.44,1,0.24,0,0.0,0,0.0,1,0.24,0,0.0,1,0.24,0,0.0,1,0.24,24008
24,9,957,25,2.61,14,1.46,10,1.04,12,1.25,12,1.25,11,1.15,4,0.42,9,0.94,8,0.84,6,0.63,4,0.42,6,0.63,2,0.21,3,0.31,3,0.31,5,0.52,9,0.94,3,0.31,3,0.31,4,0.42,33,3.45,31,3.24,28,2.93,28,2.93,31,3.24,32,3.34,28,2.93,23,2.4,3,0.31,2,0.21,2,0.21,2,0.21,0,0.0,7,0.73,0,0.0,5,0.52,24009
24,10,526,11,2.09,5,0.95,5,0.95,5,0.95,8,1.52,1,0.19,3,0.57,2,0.38,3,0.57,6,1.14,2,0.38,3,0.57,1,0.19,0,0.0,1,0.19,1,0.19,2,0.38,0,0.0,1,0.19,1,0.19,27,5.13,26,4.94,25,4.75,26,4.94,28,5.32,23,4.37,24,4.56,23,4.37,2,0.38,0,0.0,2,0.38,1,0.19,1,0.19,2,0.38,0,0.0,1,0.19,24010
24,11,1091,21,1.92,19,1.74,8,0.73,10,0.92,15,1.37,11,1.01,5,0.46,10,0.92,8,0.73,5,0.46,5,0.46,3,0.27,1,0.09,5,0.46,2,0.18,9,0.82,3,0.27,1,0.09,3,0.27,1,0.09,36,3.3,33,3.02,30,2.75,28,2.57,32,2.93,22,2.02,26,2.38,26,2.38,3,0.27,6,0.55,4,0.37,3,0.27,1,0.09,8,0.73,2,0.18,5,0.46,24011
24,12,535,8,1.5,13,2.43,6,1.12,6,1.12,6,1.12,9,1.68,6,1.12,5,0.93,3,0.56,4,0.75,2,0.37,2,0.37,1,0.19,0,0.0,0,0.0,0,0.0,1,0.19,2,0.37,0,0.0,0,0.0,22,4.11,21,3.93,17,3.18,17,3.18,22,4.11,19,3.55,18,3.36,19,3.55,1,0.19,3,0.56,1,0.19,1,0.19,0,0.0,0,0.0,0,0.0,0,0.0,24012
24,13,521,9,1.73,8,1.54,4,0.77,3,0.58,7,1.34,6,1.15,6,1.15,5,0.96,3,0.58,1,0.19,3,0.58,2,0.38,1,0.19,2,0.38,0,0.0,0,0.0,2,0.38,0,0.0,0,0.0,1,0.19,27,5.18,22,4.22,23,4.41,19,3.65,27,5.18,21,4.03,16,3.07,22,4.22,0,0.0,0,0.0,1,0.19,1,0.19,0,0.0,1,0.19,1,0.19,0,0.0,24013
24,14,799,14,1.75,11,1.38,5,0.63,4,0.5,11,1.38,5,0.63,4,0.5,13,1.63,9,1.13,5,0.63,6,0.75,5,0.63,2,0.25,3,0.38,3,0.38,8,1.0,0,0.0,3,0.38,4,0.5,3,0.38,30,3.75,30,3.75,26,3.25,17,2.13,26,3.25,23,2.88,23,2.88,23,2.88,1,0.13,4,0.5,2,0.25,1,0.13,4,0.5,5,0.63,1,0.13,0,0.0,24014
24,15,408,9,2.21,11,2.7,3,0.74,2,0.49,6,1.47,3,0.74,2,0.49,6,1.47,1,0.25,2,0.49,1,0.25,3,0.74,1,0.25,1,0.25,1,0.25,3,0.74,0,0.0,1,0.25,2,0.49,0,0.0,14,3.43,13,3.19,10,2.45,11,2.7,11,2.7,11,2.7,11,2.7,11,2.7,0,0.0,0,0.0,0,0.0,2,0.49,3,0.74,0,0.0,1,0.25,3,0.74,24015
24,16,1587,35,2.21,47,2.96,17,1.07,21,1.32,24,1.51,27,1.7,12,0.76,16,1.01,30,1.89,18,1.13,14,0.88,21,1.32,8,0.5,9,0.57,9,0.57,14,0.88,10,0.63,8,0.5,6,0.38,6,0.38,80,5.04,71,4.47,68,4.28,65,4.1,85,5.36,82,5.17,67,4.22,64,4.03,5,0.32,8,0.5,8,0.5,6,0.38,5,0.32,9,0.57,4,0.25,3,0.19,24016
24,17,763,17,2.23,11,1.44,5,0.66,3,0.39,4,0.52,9,1.18,3,0.39,7,0.92,7,0.92,6,0.79,2,0.26,7,0.92,1,0.13,4,0.52,0,0.0,2,0.26,1,0.13,1,0.13,0,0.0,0,0.0,40,5.24,33,4.33,31,4.06,33,4.33,36,4.72,28,3.67,27,3.54,29,3.8,2,0.26,0,0.0,1,0.13,0,0.0,1,0.13,0,0.0,0,0.0,1,0.13,24017
24,18,1274,26,2.04,21,1.65,10,0.78,12,0.94,14,1.1,13,1.02,6,0.47,12,0.94,5,0.39,9,0.71,4,0.31,5,0.39,1,0.08,5,0.39,4,0.31,2,0.16,3,0.24,4,0.31,3,0.24,3,0.24,36,2.83,35,2.75,28,2.2,31,2.43,43,3.38,35,2.75,31,2.43,32,2.51,0,0.0,0,0.0,2,0.16,1,0.08,1,0.08,2,0.16,2,0.16,4,0.31,24018
24,19,1285,28,2.18,25,1.95,14,1.09,5,0.39,20,1.56,9,0.7,7,0.54,12,0.93,8,0.62,9,0.7,4,0.31,7,0.54,6,0.47,5,0.39,1,0.08,5,0.39,2,0.16,2,0.16,1,0.08,2,0.16,53,4.12,41,3.19,42,3.27,39,3.04,46,3.58,48,3.74,38,2.96,42,3.27,3,0.23,7,0.54,3,0.23,2,0.16,4,0.31,1,0.08,1,0.08,4,0.31,24019
24,20,829,15,1.81,10,1.21,5,0.6,6,0.72,7,0.84,5,0.6,6,0.72,4,0.48,7,0.84,4,0.48,2,0.24,4,0.48,1,0.12,2,0.24,3,0.36,8,0.97,2,0.24,0,0.0,2,0.24,3,0.36,30,3.62,24,2.9,28,3.38,22,2.65,27,3.26,24,2.9,22,2.65,21,2.53,0,0.0,4,0.48,2,0.24,0,0.0,3,0.36,0,0.0,1,0.12,1,0.12,24020
24,21,543,5,0.92,10,1.84,7,1.29,4,0.74,7,1.29,5,0.92,3,0.55,8,1.47,7,1.29,1,0.18,1,0.18,3,0.55,0,0.0,0,0.0,2,0.37,1,0.18,1,0.18,0,0.0,1,0.18,1,0.18,18,3.31,19,3.5,15,2.76,10,1.84,17,3.13,12,2.21,11,2.03,11,2.03,0,0.0,1,0.18,3,0.55,0,0.0,1,0.18,1,0.18,0,0.0,1,0.18,24021
