ward,precinct,total,Lorraine Mary Murphy,Lorraine Mary Murphy Percent,James Patrick Crawley,James Patrick Crawley Percent,Araceli Reyes De La Cruz,Araceli Reyes De La Cruz Percent,precinct_id
8,36,223,99,44.39,31,13.9,93,41.7,08036
8,37,191,64,33.51,23,12.04,104,54.45,08037
8,38,153,69,45.1,25,16.34,59,38.56,08038
8,39,230,82,35.65,31,13.48,117,50.87,08039
8,40,190,82,43.16,34,17.89,74,38.95,08040
8,41,225,95,42.22,44,19.56,86,38.22,08041
8,42,252,94,37.3,39,15.48,119,47.22,08042
8,43,114,48,42.11,25,21.93,41,35.96,08043
8,44,139,64,46.04,33,23.74,42,30.22,08044
8,45,153,81,52.94,32,20.92,40,26.14,08045
8,46,166,64,38.55,34,20.48,68,40.96,08046
8,47,180,75,41.67,35,19.44,70,38.89,08047
8,48,192,70,36.46,42,21.88,80,41.67,08048
8,49,229,77,33.62,41,17.9,111,48.47,08049
8,50,227,87,38.33,31,13.66,109,48.02,08050
8,51,249,83,33.33,39,15.66,127,51.0,08051
8,52,311,121,38.91,50,16.08,140,45.02,08052
8,53,93,39,41.94,13,13.98,41,44.09,08053
8,54,161,69,42.86,45,27.95,47,29.19,08054
8,55,225,82,36.44,40,17.78,103,45.78,08055
8,56,237,95,40.08,32,13.5,110,46.41,08056
9,1,191,87,45.55,38,19.9,66,34.55,09001
9,2,192,102,53.13,39,20.31,51,26.56,09002
9,3,106,55,51.89,29,27.36,22,20.75,09003
9,4,166,84,50.6,33,19.88,49,29.52,09004
9,5,187,85,45.45,33,17.65,69,36.9,09005
9,6,196,100,51.02,32,16.33,64,32.65,09006
9,7,126,57,45.24,35,27.78,34,26.98,09007
9,8,170,68,40.0,32,18.82,70,41.18,09008
9,9,219,86,39.27,49,22.37,84,38.36,09009
9,10,169,81,47.93,31,18.34,57,33.73,09010
9,11,135,69,51.11,32,23.7,34,25.19,09011
9,12,225,100,44.44,37,16.44,88,39.11,09012
9,13,268,116,43.28,49,18.28,103,38.43,09013
9,14,266,124,46.62,37,13.91,105,39.47,09014
9,15,158,82,51.9,44,27.85,32,20.25,09015
9,16,216,106,49.07,44,20.37,66,30.56,09016
9,17,125,63,50.4,28,22.4,34,27.2,09017
9,18,148,68,45.95,29,19.59,51,34.46,09018
9,19,186,93,50.0,24,12.9,69,37.1,09019
9,20,188,82,43.62,39,20.74,67,35.64,09020
9,21,176,76,43.18,35,19.89,65,36.93,09021
9,22,226,92,40.71,35,15.49,99,43.81,09022
9,23,234,90,38.46,28,11.97,116,49.57,09023
9,24,235,87,37.02,49,20.85,99,42.13,09024
9,25,214,87,40.65,43,20.09,84,39.25,09025
9,26,156,81,51.92,40,25.64,35,22.44,09026
9,27,168,86,51.19,37,22.02,45,26.79,09027
9,28,90,36,40.0,19,21.11,35,38.89,09028
9,29,112,59,52.68,23,20.54,30,26.79,09029
9,30,147,55,37.41,32,21.77,60,40.82,09030
9,31,141,63,44.68,26,18.44,52,36.88,09031
9,32,196,84,42.86,40,20.41,72,36.73,09032
9,33,145,68,46.9,38,26.21,39,26.9,09033
9,34,140,70,50.0,32,22.86,38,27.14,09034
9,35,202,71,35.15,34,16.83,97,48.02,09035
9,36,160,75,46.88,36,22.5,49,30.63,09036
9,37,269,108,40.15,45,16.73,116,43.12,09037
9,38,197,91,46.19,49,24.87,57,28.93,09038
9,39,225,104,46.22,46,20.44,75,33.33,09039
9,40,241,104,43.15,48,19.92,89,36.93,09040
9,41,173,77,44.51,36,20.81,60,34.68,09041
9,42,234,80,34.19,29,12.39,125,53.42,09042
9,43,143,82,57.34,33,23.08,28,19.58,09043
9,44,192,79,41.15,50,26.04,63,32.81,09044
9,45,147,62,42.18,34,23.13,51,34.69,09045
9,46,209,96,45.93,36,17.22,77,36.84,09046
9,47,240,98,40.83,24,10.0,118,49.17,09047
9,48,215,91,42.33,41,19.07,83,38.6,09048
9,49,237,111,46.84,35,14.77,91,38.4,09049
9,50,327,134,40.98,53,16.21,140,42.81,09050
9,51,228,88,38.6,48,21.05,92,40.35,09051
10,1,163,64,39.26,30,18.4,69,42.33,10001
10,2,147,46,31.29,20,13.61,81,55.1,10002
10,3,145,51,35.17,28,19.31,66,45.52,10003
10,4,121,34,28.1,20,16.53,67,55.37,10004
10,5,124,42,33.87,21,16.94,61,49.19,10005
10,6,131,16,12.21,14,10.69,101,77.1,10006
10,7,114,20,17.54,14,12.28,80,70.18,10007
10,8,79,30,37.97,21,26.58,28,35.44,10008
10,9,138,41,29.71,28,20.29,69,50.0,10009
10,10,173,36,20.81,17,9.83,120,69.36,10010
10,11,216,48,22.22,18,8.33,150,69.44,10011
10,12,107,20,18.69,17,15.89,70,65.42,10012
10,13,169,38,22.49,11,6.51,120,71.01,10013
10,14,222,40,18.02,24,10.81,158,71.17,10014
10,15,364,186,51.1,92,25.27,86,23.63,10015
10,16,98,34,34.69,19,19.39,45,45.92,10016
10,17,236,76,32.2,42,17.8,118,50.0,10017
10,18,97,28,28.87,18,18.56,51,52.58,10018
10,19,181,42,23.2,22,12.15,117,64.64,10019
10,20,191,59,30.89,19,9.95,113,59.16,10020
10,21,174,25,14.37,25,14.37,124,71.26,10021
10,22,111,19,17.12,12,10.81,80,72.07,10022
10,23,148,22,14.86,14,9.46,112,75.68,10023
10,24,142,42,29.58,14,9.86,86,60.56,10024
10,25,50,20,40.0,6,12.0,24,48.0,10025
10,26,125,22,17.6,16,12.8,87,69.6,10026
10,27,140,55,39.29,22,15.71,63,45.0,10027
10,28,206,39,18.93,21,10.19,146,70.87,10028
10,29,185,35,18.92,22,11.89,128,69.19,10029
10,30,159,28,17.61,16,10.06,115,72.33,10030
10,31,132,14,10.61,22,16.67,96,72.73,10031
10,32,163,21,12.88,18,11.04,124,76.07,10032
10,33,126,22,17.46,13,10.32,91,72.22,10033
10,34,111,30,27.03,23,20.72,58,52.25,10034
10,35,191,35,18.32,22,11.52,134,70.16,10035
10,36,41,20,48.78,6,14.63,15,36.59,10036
11,1,235,102,43.4,50,21.28,83,35.32,11001
11,2,16,9,56.25,4,25.0,3,18.75,11002
11,3,217,60,27.65,25,11.52,132,60.83,11003
11,4,175,68,38.86,26,14.86,81,46.29,11004
11,5,312,99,31.73,63,20.19,150,48.08,11005
11,6,273,112,41.03,36,13.19,125,45.79,11006
11,7,234,94,40.17,38,16.24,102,43.59,11007
11,8,213,68,31.92,48,22.54,97,45.54,11008
11,9,203,77,37.93,37,18.23,89,43.84,11009
11,10,183,79,43.17,47,25.68,57,31.15,11010
11,11,204,68,33.33,47,23.04,89,43.63,11011
11,12,295,149,50.51,89,30.17,57,19.32,11012
11,13,238,111,46.64,66,27.73,61,25.63,11013
11,14,98,45,45.92,24,24.49,29,29.59,11014
11,15,71,26,36.62,23,32.39,22,30.99,11015
11,16,142,63,44.37,31,21.83,48,33.8,11016
11,17,319,111,34.8,59,18.5,149,46.71,11017
11,18,177,75,42.37,41,23.16,61,34.46,11018
11,19,291,90,30.93,66,22.68,135,46.39,11019
11,20,139,54,38.85,35,25.18,50,35.97,11020
11,21,315,135,42.86,73,23.17,107,33.97,11021
11,22,276,102,36.96,62,22.46,112,40.58,11022
11,23,146,55,37.67,33,22.6,58,39.73,11023
11,24,330,162,49.09,61,18.48,107,32.42,11024
11,25,274,112,40.88,55,20.07,107,39.05,11025
11,26,270,100,37.04,51,18.89,119,44.07,11026
11,27,78,30,38.46,17,21.79,31,39.74,11027
11,28,94,33,35.11,25,26.6,36,38.3,11028
11,29,264,114,43.18,60,22.73,90,34.09,11029
11,30,98,44,44.9,25,25.51,29,29.59,11030
11,31,207,109,52.66,38,18.36,60,28.99,11031
11,32,90,35,38.89,29,32.22,26,28.89,11032
11,33,259,87,33.59,48,18.53,124,47.88,11033
11,34,70,26,37.14,23,32.86,21,30.0,11034
11,35,31,11,35.48,9,29.03,11,35.48,11035
11,36,73,29,39.73,16,21.92,28,38.36,11036
11,37,53,22,41.51,10,18.87,21,39.62,11037
11,38,105,38,36.19,14,13.33,53,50.48,11038
12,1,248,60,24.19,34,13.71,154,62.1,12001
12,2,180,31,17.22,29,16.11,120,66.67,12002
12,3,322,81,25.16,57,17.7,184,57.14,12003
12,4,270,66,24.44,50,18.52,154,57.04,12004
12,5,186,51,27.42,37,19.89,98,52.69,12005
12,6,237,55,23.21,37,15.61,145,61.18,12006
12,7,213,29,13.62,39,18.31,145,68.08,12007
12,8,235,59,25.11,41,17.45,135,57.45,12008
12,9,202,37,18.32,28,13.86,137,67.82,12009
12,10,282,41,14.54,25,8.87,216,76.6,12010
12,11,231,28,12.12,28,12.12,175,75.76,12011
