ward,precinct,total,Eileen Mary Brewer,Eileen Mary Brewer Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,James Michael Bailey,James Michael Bailey Percent,Barbara Ann Riley,Barbara Ann Riley Percent,precinct_id
40,10,125,26,20.8,27,21.6,16,12.8,18,14.4,40010
40,11,75,9,12.0,23,30.67,10,13.33,13,17.33,40011
40,12,87,17,19.54,20,22.99,4,4.6,10,11.49,40012
40,13,107,26,24.3,33,30.84,6,5.61,14,13.08,40013
40,14,63,5,7.94,19,30.16,10,15.87,12,19.05,40014
40,15,109,21,19.27,18,16.51,14,12.84,11,10.09,40015
40,16,145,19,13.1,36,24.83,8,5.52,16,11.03,40016
40,17,65,8,12.31,14,21.54,8,12.31,9,13.85,40017
40,18,90,13,14.44,10,11.11,9,10.0,16,17.78,40018
40,19,98,10,10.2,22,22.45,12,12.24,21,21.43,40019
40,20,88,10,11.36,20,22.73,10,11.36,10,11.36,40020
40,21,97,8,8.25,31,31.96,9,9.28,20,20.62,40021
40,22,32,5,15.63,16,50.0,4,12.5,2,6.25,40022
40,23,104,23,22.12,16,15.38,15,14.42,15,14.42,40023
40,24,57,8,14.04,8,14.04,6,10.53,11,19.3,40024
40,25,78,8,10.26,16,20.51,16,20.51,14,17.95,40025
40,26,124,17,13.71,30,24.19,5,4.03,20,16.13,40026
40,27,95,12,12.63,31,32.63,14,14.74,11,11.58,40027
40,28,101,14,13.86,26,25.74,5,4.95,23,22.77,40028
40,29,139,20,14.39,31,22.3,21,15.11,19,13.67,40029
40,30,150,18,12.0,28,18.67,15,10.0,12,8.0,40030
40,31,98,18,18.37,7,7.14,8,8.16,17,17.35,40031
40,32,51,8,15.69,7,13.73,9,17.65,10,19.61,40032
40,33,85,10,11.76,32,37.65,12,14.12,13,15.29,40033
40,34,80,9,11.25,13,16.25,6,7.5,18,22.5,40034
40,35,92,16,17.39,20,21.74,19,20.65,9,9.78,40035
40,36,111,10,9.01,26,23.42,16,14.41,12,10.81,40036
40,37,73,10,13.7,17,23.29,9,12.33,18,24.66,40037
40,38,51,10,19.61,4,7.84,6,11.76,7,13.73,40038
40,39,89,13,14.61,25,28.09,8,8.99,12,13.48,40039
40,40,67,9,13.43,18,26.87,9,13.43,12,17.91,40040
40,41,107,30,28.04,30,28.04,4,3.74,16,14.95,40041
40,42,98,11,11.22,24,24.49,12,12.24,13,13.27,40042
40,43,94,24,25.53,23,24.47,11,11.7,9,9.57,40043
40,44,59,12,20.34,9,15.25,12,20.34,13,22.03,40044
40,45,126,16,12.7,32,25.4,19,15.08,21,16.67,40045
40,46,116,12,10.34,23,19.83,16,13.79,26,22.41,40046
40,47,99,14,14.14,30,30.3,8,8.08,15,15.15,40047
40,48,76,7,9.21,9,11.84,12,15.79,12,15.79,40048
40,49,51,7,13.73,17,33.33,4,7.84,6,11.76,40049
41,1,134,16,11.94,30,22.39,26,19.4,27,20.15,41001
41,2,184,24,13.04,32,17.39,49,26.63,29,15.76,41002
41,3,137,18,13.14,25,18.25,34,24.82,26,18.98,41003
41,4,150,12,8.0,21,14.0,35,23.33,41,27.33,41004
41,5,122,23,18.85,22,18.03,27,22.13,22,18.03,41005
