ward,precinct,total,Dean T. Maragos,Dean T. Maragos Percent,Debra Shore,Debra Shore Percent,Patricia Horton,Patricia Horton Percent,Terrence J. O'Brien,Terrence J. O'Brien Percent,James ''Jim'' Harris,James ''Jim'' Harris Percent,Barrett F. Pedersen,Barrett F. Pedersen Percent,Boguslaw ''Bogie'' Stefanski,Boguslaw ''Bogie'' Stefanski Percent,"Lewis W. Powell, III","Lewis W. Powell, III Percent",Frank Avila,Frank Avila Percent,precinct_id
8,38,425,23,5.41,52,12.24,51,12.0,71,16.71,100,23.53,57,13.41,4,0.94,57,13.41,10,2.35,08038
8,39,524,38,7.25,100,19.08,82,15.65,64,12.21,91,17.37,33,6.3,4,0.76,63,12.02,49,9.35,08039
8,40,478,25,5.23,67,14.02,65,13.6,88,18.41,98,20.5,63,13.18,3,0.63,40,8.37,29,6.07,08040
8,41,394,25,6.35,57,14.47,43,10.91,63,15.99,78,19.8,44,11.17,7,1.78,38,9.64,39,9.9,08041
8,42,462,27,5.84,79,17.1,63,13.64,60,12.99,84,18.18,44,9.52,8,1.73,61,13.2,36,7.79,08042
8,43,326,19,5.83,50,15.34,40,12.27,50,15.34,72,22.09,33,10.12,8,2.45,36,11.04,18,5.52,08043
8,44,415,26,6.27,66,15.9,64,15.42,54,13.01,85,20.48,33,7.95,5,1.2,50,12.05,32,7.71,08044
8,45,378,31,8.2,69,18.25,70,18.52,36,9.52,55,14.55,22,5.82,9,2.38,51,13.49,35,9.26,08045
8,46,385,19,4.94,65,16.88,54,14.03,59,15.32,79,20.52,41,10.65,2,0.52,44,11.43,22,5.71,08046
8,47,485,30,6.19,54,11.13,56,11.55,88,18.14,111,22.89,63,12.99,5,1.03,49,10.1,29,5.98,08047
8,48,435,20,4.6,59,13.56,70,16.09,72,16.55,91,20.92,44,10.11,3,0.69,50,11.49,26,5.98,08048
8,49,638,33,5.17,80,12.54,92,14.42,100,15.67,127,19.91,87,13.64,5,0.78,71,11.13,43,6.74,08049
8,50,492,16,3.25,86,17.48,83,16.87,66,13.41,87,17.68,49,9.96,6,1.22,59,11.99,40,8.13,08050
8,51,571,26,4.55,107,18.74,114,19.96,50,8.76,95,16.64,35,6.13,3,0.53,90,15.76,51,8.93,08051
8,52,569,30,5.27,103,18.1,89,15.64,69,12.13,111,19.51,43,7.56,6,1.05,79,13.88,39,6.85,08052
8,53,616,30,4.87,82,13.31,81,13.15,104,16.88,132,21.43,76,12.34,9,1.46,54,8.77,48,7.79,08053
8,54,535,34,6.36,68,12.71,71,13.27,85,15.89,113,21.12,63,11.78,6,1.12,57,10.65,38,7.1,08054
8,55,295,31,10.51,52,17.63,49,16.61,31,10.51,47,15.93,25,8.47,4,1.36,35,11.86,21,7.12,08055
8,56,490,19,3.88,66,13.47,59,12.04,84,17.14,110,22.45,66,13.47,5,1.02,49,10.0,32,6.53,08056
8,57,296,16,5.41,45,15.2,66,22.3,24,8.11,49,16.55,12,4.05,3,1.01,51,17.23,30,10.14,08057
8,58,592,27,4.56,80,13.51,104,17.57,70,11.82,121,20.44,41,6.93,7,1.18,102,17.23,40,6.76,08058
8,59,236,24,10.17,42,17.8,33,13.98,31,13.14,40,16.95,18,7.63,8,3.39,28,11.86,12,5.08,08059
8,60,385,27,7.01,70,18.18,88,22.86,34,8.83,52,13.51,17,4.42,5,1.3,58,15.06,34,8.83,08060
8,61,392,25,6.38,69,17.6,72,18.37,42,10.71,65,16.58,24,6.12,3,0.77,56,14.29,36,9.18,08061
8,62,459,25,5.45,81,17.65,81,17.65,52,11.33,79,17.21,31,6.75,3,0.65,58,12.64,49,10.68,08062
8,63,634,30,4.73,68,10.73,96,15.14,101,15.93,128,20.19,83,13.09,8,1.26,69,10.88,51,8.04,08063
8,64,419,25,5.97,46,10.98,55,13.13,82,19.57,93,22.2,60,14.32,6,1.43,35,8.35,17,4.06,08064
8,65,327,18,5.5,51,15.6,52,15.9,36,11.01,68,20.8,37,11.31,2,0.61,32,9.79,31,9.48,08065
8,66,573,40,6.98,78,13.61,75,13.09,82,14.31,117,20.42,56,9.77,8,1.4,68,11.87,49,8.55,08066
8,67,251,10,3.98,30,11.95,34,13.55,43,17.13,58,23.11,32,12.75,1,0.4,24,9.56,19,7.57,08067
8,68,256,9,,32,,34,,48,,55,,38,,0,,24,,16,,08068
8,69,289,19,6.57,43,14.88,43,14.88,42,14.53,55,19.03,32,11.07,3,1.04,29,10.03,23,7.96,08069
8,70,519,21,4.05,84,16.18,78,15.03,79,15.22,102,19.65,54,10.4,7,1.35,54,10.4,40,7.71,08070
