ward,precinct,total,Alexander Giannoulias,Alexander Giannoulias Percent,Paul L. Mangieri,Paul L. Mangieri Percent,precinct_id
42,28,131,78,59.54,53,40.46,42028
42,29,122,74,60.66,48,39.34,42029
42,30,76,44,57.89,32,42.11,42030
42,31,60,34,56.67,26,43.33,42031
42,32,130,91,70.0,39,30.0,42032
42,33,190,118,62.11,72,37.89,42033
42,34,109,67,61.47,42,38.53,42034
42,35,112,72,64.29,40,35.71,42035
42,36,83,52,62.65,31,37.35,42036
42,37,102,62,60.78,40,39.22,42037
42,38,107,60,56.07,47,43.93,42038
42,39,153,56,36.6,97,63.4,42039
42,40,120,68,56.67,52,43.33,42040
42,41,118,68,57.63,50,42.37,42041
42,42,63,38,60.32,25,39.68,42042
42,43,112,50,44.64,62,55.36,42043
42,44,114,70,61.4,44,38.6,42044
42,45,99,66,66.67,33,33.33,42045
42,46,67,48,71.64,19,28.36,42046
42,47,70,45,64.29,25,35.71,42047
42,48,64,42,65.63,22,34.38,42048
42,49,75,30,40.0,45,60.0,42049
42,50,97,54,55.67,43,44.33,42050
42,51,101,68,67.33,33,32.67,42051
42,52,62,42,67.74,20,32.26,42052
42,53,85,50,58.82,35,41.18,42053
42,54,79,52,65.82,27,34.18,42054
42,55,107,62,57.94,45,42.06,42055
42,56,105,61,58.1,44,41.9,42056
42,57,76,54,71.05,22,28.95,42057
42,58,48,35,72.92,13,27.08,42058
42,59,19,15,78.95,4,21.05,42059
42,60,66,48,72.73,18,27.27,42060
42,61,60,45,75.0,15,25.0,42061
42,62,74,54,72.97,20,27.03,42062
42,63,125,81,64.8,44,35.2,42063
42,64,54,43,79.63,11,20.37,42064
42,65,88,57,64.77,31,35.23,42065
42,66,115,79,68.7,36,31.3,42066
42,67,90,63,70.0,27,30.0,42067
42,68,106,67,63.21,39,36.79,42068
42,69,130,94,72.31,36,27.69,42069
43,1,141,97,68.79,44,31.21,43001
43,2,97,57,58.76,40,41.24,43002
43,3,111,76,68.47,35,31.53,43003
43,4,120,69,57.5,51,42.5,43004
43,5,71,38,53.52,33,46.48,43005
43,6,78,49,62.82,29,37.18,43006
43,7,136,97,71.32,39,28.68,43007
43,8,146,83,56.85,63,43.15,43008
43,9,71,44,61.97,27,38.03,43009
43,10,92,56,60.87,36,39.13,43010
43,11,43,23,53.49,20,46.51,43011
43,12,147,86,58.5,61,41.5,43012
43,13,48,35,72.92,13,27.08,43013
43,14,114,69,60.53,45,39.47,43014
43,15,76,48,63.16,28,36.84,43015
