ward,precinct,total,Charles J. Wheelan,Charles J. Wheelan Percent,Sara Feigenholtz,Sara Feigenholtz Percent,John A. Fritchey,John A. Fritchey Percent,Victor A. Forys,Victor A. Forys Percent,Jan H. Donatelli,Jan H. Donatelli Percent,Frank Annunzio,Frank Annunzio Percent,Carlos A. Monteagudo,Carlos A. Monteagudo Percent,Paul J. Bryar,Paul J. Bryar Percent,Tom Geoghegan,Tom Geoghegan Percent,Cary Capparelli,Cary Capparelli Percent,Mike Quigley,Mike Quigley Percent,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
38,29,98,3,3.06,21,21.43,13,13.27,14,14.29,2,2.04,1,1.02,2,2.04,7,7.14,6,6.12,0,0.0,24,24.49,5,5.1,38029
38,30,75,1,1.33,8,10.67,9,12.0,18,24.0,1,1.33,6,8.0,2,2.67,3,4.0,3,4.0,5,6.67,9,12.0,10,13.33,38030
38,31,106,7,6.6,19,17.92,8,7.55,22,20.75,0,0.0,0,0.0,6,5.66,4,3.77,7,6.6,4,3.77,23,21.7,6,5.66,38031
38,32,143,8,5.59,19,13.29,30,20.98,38,26.57,0,0.0,8,5.59,0,0.0,2,1.4,2,1.4,1,0.7,24,16.78,11,7.69,38032
38,33,111,0,0.0,13,11.71,16,14.41,35,31.53,4,3.6,1,0.9,0,0.0,1,0.9,16,14.41,0,0.0,12,10.81,13,11.71,38033
38,34,66,0,0.0,12,18.18,12,18.18,11,16.67,0,0.0,0,0.0,3,4.55,3,4.55,5,7.58,2,3.03,12,18.18,6,9.09,38034
38,35,113,3,2.65,17,15.04,19,16.81,20,17.7,4,3.54,3,2.65,2,1.77,10,8.85,7,6.19,2,1.77,18,15.93,8,7.08,38035
38,36,81,3,3.7,4,4.94,24,29.63,16,19.75,4,4.94,1,1.23,2,2.47,0,0.0,5,6.17,2,2.47,13,16.05,7,8.64,38036
38,37,99,7,7.07,8,8.08,16,16.16,45,45.45,1,1.01,2,2.02,3,3.03,2,2.02,1,1.01,0,0.0,13,13.13,1,1.01,38037
38,38,123,2,1.63,19,15.45,7,5.69,43,34.96,0,0.0,4,3.25,1,0.81,10,8.13,4,3.25,0,0.0,30,24.39,3,2.44,38038
38,39,108,3,2.78,8,7.41,11,10.19,52,48.15,1,0.93,2,1.85,4,3.7,1,0.93,1,0.93,0,0.0,20,18.52,5,4.63,38039
38,40,80,4,5.0,12,15.0,5,6.25,23,28.75,0,0.0,2,2.5,1,1.25,1,1.25,5,6.25,0,0.0,24,30.0,3,3.75,38040
38,41,128,6,4.69,19,14.84,34,26.56,9,7.03,5,3.91,2,1.56,1,0.78,5,3.91,12,9.38,3,2.34,27,21.09,5,3.91,38041
38,42,111,4,3.6,7,6.31,19,17.12,21,18.92,1,0.9,5,4.5,0,0.0,1,0.9,6,5.41,1,0.9,33,29.73,13,11.71,38042
38,43,125,4,3.2,17,13.6,28,22.4,27,21.6,5,4.0,1,0.8,0,0.0,1,0.8,4,3.2,0,0.0,17,13.6,21,16.8,38043
38,44,110,7,6.36,17,15.45,24,21.82,25,22.73,2,1.82,1,0.91,0,0.0,0,0.0,5,4.55,0,0.0,22,20.0,7,6.36,38044
38,45,127,8,6.3,15,11.81,12,9.45,32,25.2,2,1.57,15,11.81,2,1.57,2,1.57,1,0.79,2,1.57,30,23.62,6,4.72,38045
38,46,83,1,1.2,14,16.87,16,19.28,15,18.07,0,0.0,4,4.82,2,2.41,2,2.41,5,6.02,2,2.41,18,21.69,4,4.82,38046
38,47,86,5,5.81,15,17.44,10,11.63,21,24.42,0,0.0,3,3.49,1,1.16,5,5.81,7,8.14,0,0.0,13,15.12,6,6.98,38047
38,48,97,1,1.03,11,11.34,19,19.59,22,22.68,1,1.03,4,4.12,0,0.0,0,0.0,6,6.19,0,0.0,28,28.87,5,5.15,38048
38,49,112,0,0.0,5,4.46,13,11.61,50,44.64,0,0.0,5,4.46,5,4.46,2,1.79,1,0.89,0,0.0,23,20.54,8,7.14,38049
38,50,107,8,7.48,13,12.15,20,18.69,24,22.43,4,3.74,6,5.61,1,0.93,2,1.87,9,8.41,1,0.93,16,14.95,3,2.8,38050
38,51,70,2,2.86,10,14.29,4,5.71,19,27.14,0,0.0,1,1.43,0,0.0,1,1.43,1,1.43,2,2.86,25,35.71,5,7.14,38051
38,52,90,11,12.22,7,7.78,7,7.78,28,31.11,0,0.0,1,1.11,0,0.0,3,3.33,5,5.56,0,0.0,28,31.11,0,0.0,38052
38,53,25,0,0.0,1,4.0,2,8.0,12,48.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,0,0.0,9,36.0,0,0.0,38053
39,1,121,5,4.13,9,7.44,7,5.79,10,8.26,1,0.83,2,1.65,1,0.83,4,3.31,4,3.31,0,0.0,40,33.06,38,31.4,39001
39,2,231,13,5.63,43,18.61,12,5.19,10,4.33,0,0.0,1,0.43,1,0.43,3,1.3,13,5.63,4,1.73,30,12.99,101,43.72,39002
39,3,140,10,7.14,11,7.86,11,7.86,11,7.86,1,0.71,1,0.71,0,0.0,4,2.86,4,2.86,5,3.57,37,26.43,45,32.14,39003
39,4,99,6,6.06,10,10.1,13,13.13,5,5.05,2,2.02,2,2.02,0,0.0,0,0.0,2,2.02,0,0.0,31,31.31,28,28.28,39004
39,5,67,7,10.45,8,11.94,9,13.43,1,1.49,0,0.0,1,1.49,0,0.0,0,0.0,5,7.46,0,0.0,15,22.39,21,31.34,39005
39,6,70,3,4.29,10,14.29,10,14.29,4,5.71,0,0.0,1,1.43,0,0.0,3,4.29,4,5.71,0,0.0,20,28.57,15,21.43,39006
39,7,91,1,1.1,8,8.79,26,28.57,3,3.3,0,0.0,2,2.2,3,3.3,3,3.3,4,4.4,0,0.0,19,20.88,22,24.18,39007
39,8,116,6,5.17,11,9.48,9,7.76,11,9.48,7,6.03,1,0.86,1,0.86,2,1.72,12,10.34,1,0.86,22,18.97,33,28.45,39008
39,9,147,1,0.68,18,12.24,10,6.8,4,2.72,1,0.68,1,0.68,0,0.0,2,1.36,1,0.68,7,4.76,24,16.33,78,53.06,39009
