ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
9,21,123,95,77.24,28,22.76,09021
9,22,194,160,82.47,34,17.53,09022
9,23,123,102,82.93,21,17.07,09023
9,24,86,70,81.4,16,18.6,09024
9,25,104,79,75.96,25,24.04,09025
9,26,114,92,80.7,22,19.3,09026
9,27,109,89,81.65,20,18.35,09027
9,28,141,112,79.43,29,20.57,09028
9,29,147,108,73.47,39,26.53,09029
9,30,195,153,78.46,42,21.54,09030
9,31,181,134,74.03,47,25.97,09031
9,32,157,126,80.25,31,19.75,09032
9,33,108,81,75.0,27,25.0,09033
9,34,160,124,77.5,36,22.5,09034
9,35,164,131,79.88,33,20.12,09035
9,36,93,68,73.12,25,26.88,09036
9,37,219,162,73.97,57,26.03,09037
9,38,198,156,78.79,42,21.21,09038
9,39,148,116,78.38,32,21.62,09039
9,40,187,150,80.21,37,19.79,09040
9,41,193,139,72.02,54,27.98,09041
9,42,138,86,62.32,52,37.68,09042
9,43,137,103,75.18,34,24.82,09043
9,44,166,125,75.3,41,24.7,09044
9,45,211,174,82.46,37,17.54,09045
9,46,133,110,82.71,23,17.29,09046
9,47,98,73,74.49,25,25.51,09047
9,48,172,136,79.07,36,20.93,09048
9,49,73,57,78.08,16,21.92,09049
9,50,219,167,76.26,52,23.74,09050
9,51,111,85,76.58,26,23.42,09051
9,52,159,130,81.76,29,18.24,09052
10,1,82,60,73.17,22,26.83,10001
10,2,106,94,88.68,12,11.32,10002
10,3,178,144,80.9,34,19.1,10003
10,4,177,124,70.06,53,29.94,10004
10,5,112,89,79.46,23,20.54,10005
10,6,195,141,72.31,54,27.69,10006
10,7,37,30,81.08,7,18.92,10007
10,8,146,117,80.14,29,19.86,10008
10,9,159,130,81.76,29,18.24,10009
10,10,146,109,74.66,37,25.34,10010
10,11,154,125,81.17,29,18.83,10011
10,12,134,95,70.9,39,29.1,10012
10,13,189,156,82.54,33,17.46,10013
10,14,38,29,76.32,9,23.68,10014
10,15,82,68,82.93,14,17.07,10015
10,16,157,124,78.98,33,21.02,10016
10,17,146,122,83.56,24,16.44,10017
10,18,161,128,79.5,33,20.5,10018
10,19,249,202,81.12,47,18.88,10019
10,20,267,202,75.66,65,24.34,10020
10,21,115,84,73.04,31,26.96,10021
10,22,47,29,61.7,18,38.3,10022
10,23,157,107,68.15,50,31.85,10023
10,24,158,127,80.38,31,19.62,10024
10,25,198,146,73.74,52,26.26,10025
10,26,136,103,75.74,33,24.26,10026
10,27,167,133,79.64,34,20.36,10027
10,28,142,111,78.17,31,21.83,10028
10,29,175,139,79.43,36,20.57,10029
10,30,145,116,80.0,29,20.0,10030
10,31,161,129,80.12,32,19.88,10031
10,32,155,100,64.52,55,35.48,10032
10,33,146,110,75.34,36,24.66,10033
10,34,168,133,79.17,35,20.83,10034
10,35,149,107,71.81,42,28.19,10035
10,36,138,101,73.19,37,26.81,10036
10,37,129,91,70.54,38,29.46,10037
10,38,194,139,71.65,55,28.35,10038
10,39,163,122,74.85,41,25.15,10039
10,40,110,78,70.91,32,29.09,10040
10,41,244,182,74.59,62,25.41,10041
10,42,159,112,70.44,47,29.56,10042
10,43,180,140,77.78,40,22.22,10043
10,44,145,108,74.48,37,25.52,10044
10,45,151,110,72.85,41,27.15,10045
10,46,140,102,72.86,38,27.14,10046
11,1,159,133,83.65,26,16.35,11001
11,2,153,123,80.39,30,19.61,11002
